# Time-averaged data for fix H2O_ave_density
# TimeStep v_H2O_density
100 0.0130516
200 0.0134407
300 0.0138561
400 0.0142232
500 0.0145395
600 0.0147893
700 0.0149521
800 0.0151072
900 0.0152077
1000 0.0151887
1100 0.0150229
1200 0.0147801
1300 0.0145977
1400 0.0145358
1500 0.0145091
1600 0.0144458
1700 0.0143794
1800 0.0143528
1900 0.0143464
2000 0.0143694
2100 0.0144228
2200 0.0144699
2300 0.014488
2400 0.0145132
2500 0.014558
2600 0.0146246
2700 0.0146774
2800 0.0147037
2900 0.0147589
3000 0.014855
3100 0.0149775
3200 0.0151247
3300 0.0152355
3400 0.0153488
3500 0.0154874
3600 0.0156268
3700 0.0157598
3800 0.01588
3900 0.0159767
4000 0.0160391
4100 0.0160714
4200 0.0161371
4300 0.0162288
4400 0.0163563
4500 0.0165276
4600 0.0166852
4700 0.0168186
4800 0.0169445
4900 0.0170256
5000 0.0170949
5100 0.0172108
5200 0.0173225
5300 0.0174329
5400 0.0175686
5500 0.0176444
5600 0.0176769
5700 0.0177375
5800 0.0177947
5900 0.0177749
6000 0.0177154
6100 0.0176591
6200 0.0176589
6300 0.0176666
6400 0.0176478
6500 0.0175659
6600 0.0174478
6700 0.017457
6800 0.0175368
6900 0.0175843
7000 0.0175646
7100 0.0174621
7200 0.0173662
7300 0.0173024
7400 0.0172534
7500 0.0172386
7600 0.0172147
7700 0.0172245
7800 0.0172983
7900 0.0174102
8000 0.0175297
8100 0.0176951
8200 0.0178781
8300 0.0180579
8400 0.0182224
8500 0.0183721
8600 0.0185256
8700 0.0186473
8800 0.0187173
8900 0.0187831
9000 0.0188782
9100 0.0190343
9200 0.0192596
9300 0.0194028
9400 0.0194531
9500 0.0194779
9600 0.019456
9700 0.0194395
9800 0.0194644
9900 0.0195739
10000 0.019796
10100 0.0199904
10200 0.0201652
10300 0.0203366
10400 0.0203962
10500 0.0204403
10600 0.020499
10700 0.0205578
10800 0.0205747
10900 0.0205371
11000 0.0205027
11100 0.0205111
11200 0.0204906
11300 0.0204474
11400 0.0204382
11500 0.0204442
11600 0.0204565
11700 0.0204222
11800 0.0203227
11900 0.0202891
12000 0.0203445
12100 0.020411
12200 0.0205193
12300 0.0207209
12400 0.0209811
12500 0.0212497
12600 0.0213632
12700 0.0213716
12800 0.0213402
12900 0.0212751
13000 0.0212078
13100 0.021205
13200 0.021254
13300 0.0213106
13400 0.0213233
13500 0.0213921
13600 0.0215618
13700 0.0216815
13800 0.0216413
13900 0.0214889
14000 0.0214218
14100 0.0214952
14200 0.0215968
14300 0.0216109
14400 0.0216026
14500 0.0215701
14600 0.0214506
14700 0.0212742
14800 0.0211394
14900 0.0210934
15000 0.0211088
15100 0.0212747
15200 0.0215064
15300 0.02169
15400 0.021835
15500 0.0218783
15600 0.0219034
15700 0.0220018
15800 0.0220966
15900 0.0222015
16000 0.0223221
16100 0.0223765
16200 0.0224002
16300 0.0223005
16400 0.0221245
16500 0.0219539
16600 0.0218685
16700 0.0219034
16800 0.0219308
16900 0.0219142
17000 0.0219153
17100 0.0218393
17200 0.0216513
17300 0.0214793
17400 0.021479
17500 0.0216308
17600 0.0217831
17700 0.021973
