# Time-averaged data for fix ave_oxygen_6_7_distance
# TimeStep v_oxygen_6_7_distance
100 21.3876
200 22.0358
300 22.6183
400 22.6531
500 22.0931
600 21.8585
700 22.1705
800 21.6958
900 21.5579
1000 21.9035
1100 22.2787
1200 22.8745
1300 23.3385
1400 23.5095
1500 23.903
1600 24.103
1700 23.8442
1800 23.7828
1900 23.981
2000 24.1213
2100 24.5353
2200 24.7708
2300 24.7673
2400 24.6653
2500 24.6017
2600 24.4431
2700 24.6791
2800 24.9029
2900 25.3925
3000 25.4982
3100 25.3863
3200 25.3942
3300 25.1056
3400 24.4476
3500 24.2049
3600 24.4214
3700 24.8492
3800 24.5137
3900 23.8589
4000 23.6567
4100 23.5274
4200 23.319
4300 22.9201
4400 22.5787
4500 22.3099
4600 21.8408
4700 21.3964
4800 21.0687
4900 20.8798
5000 20.519
5100 20.0872
5200 19.6951
5300 19.5274
5400 19.421
5500 19.5986
5600 19.7106
5700 19.8671
5800 19.8635
5900 20.2124
6000 20.1283
6100 20.1702
6200 20.3328
6300 19.9108
6400 19.7124
6500 20.0579
6600 20.1554
6700 20.2022
6800 20.3241
6900 20.4051
7000 20.8496
7100 21.204
7200 21.1249
7300 21.1969
7400 21.0715
7500 20.9573
7600 20.7622
7700 20.7186
7800 20.388
7900 20.2551
8000 20.568
8100 21.1842
8200 21.2026
8300 21.2067
8400 21.6853
8500 21.8912
8600 22.0517
8700 22.3789
8800 22.1648
8900 22.2277
9000 22.6609
9100 22.8429
9200 23.2989
9300 23.5254
9400 23.3923
9500 23.3648
9600 23.6338
9700 23.9181
9800 24.0032
9900 24.0857
10000 23.9108
10100 23.4946
10200 23.7346
10300 23.7107
10400 23.9259
10500 24.0405
10600 24.7814
10700 25.8438
10800 26.8217
10900 27.1715
11000 26.9927
11100 27.0782
11200 26.9999
11300 27.1335
11400 27.1019
11500 27.2902
11600 27.4426
11700 27.2973
11800 27.0856
11900 27.0956
12000 27.3541
12100 27.5782
12200 27.6074
12300 27.5472
12400 27.5462
12500 27.8411
12600 27.9018
12700 27.7385
12800 27.7974
12900 28.1592
13000 28.1497
13100 28.129
13200 28.0423
13300 27.9135
13400 27.7125
13500 27.6287
13600 27.6468
13700 27.645
13800 27.4617
13900 27.7401
14000 28.5296
14100 29.2407
14200 29.7983
14300 29.9897
14400 29.3439
14500 29.0714
14600 28.998
14700 28.9542
14800 28.8336
14900 28.7788
15000 29.0541
15100 29.3797
15200 29.6825
15300 30.5597
