# Time-averaged data for fix solvated_PEG_ave_temp
# TimeStep v_solvated_PEG_temp
100 302.463
200 300.409
300 296.86
400 293.449
500 300.787
600 302.566
700 299
800 293.746
900 293.971
1000 298.639
1100 300.948
1200 301.342
1300 300.946
1400 296.186
1500 292.804
1600 297.415
1700 301.577
1800 297.741
1900 299.513
2000 301.597
2100 302.888
2200 303.001
2300 300.934
2400 300.443
2500 301.025
2600 296.867
2700 298.89
2800 301.888
2900 302.903
3000 304.422
3100 298.211
3200 300.771
3300 301.284
3400 295.966
3500 291.28
3600 299.462
3700 299.487
3800 297.318
3900 302.307
4000 304.946
4100 305.234
4200 306.47
4300 300.929
4400 298.914
4500 298.797
4600 304.057
4700 307.587
4800 303.724
4900 304.169
5000 302.02
5100 298.746
5200 302.497
5300 297.48
5400 292.057
5500 296.415
5600 298.716
5700 302.29
5800 299.702
5900 293.669
6000 296.37
6100 299.92
6200 303.713
6300 302.38
6400 300.03
6500 300.119
6600 294.402
6700 301.378
6800 306.414
6900 305.907
7000 301.922
7100 299.287
7200 300.209
7300 308.254
7400 303.798
7500 299.039
7600 300.781
7700 302.505
7800 295.288
7900 296.469
8000 298.389
8100 298.64
8200 299.654
8300 302.835
8400 302.555
8500 298.101
8600 296.924
8700 297.982
8800 302.389
8900 299.946
9000 301.86
9100 299.135
9200 294.102
9300 302.591
9400 303.579
9500 298.861
9600 295.57
9700 296.679
9800 297.559
9900 295.511
10000 297.682
10100 302.234
10200 299.69
10300 294.229
10400 297.266
10500 296.476
10600 298.424
10700 297.691
10800 302.148
10900 300.304
11000 297.295
11100 297.209
11200 296.328
11300 302.338
11400 301.631
11500 298.397
11600 293.822
11700 300.147
11800 301.338
11900 301.214
12000 302.315
12100 299.275
12200 299.671
12300 296.164
12400 300.501
12500 303.776
12600 301.596
12700 298.936
12800 299.151
12900 300.48
13000 303.565
13100 305.561
13200 298.955
13300 295.571
13400 303.329
13500 301.819
13600 298.672
13700 297.584
13800 294.278
13900 296.882
14000 302.844
14100 304.216
14200 300.214
14300 302.587
14400 302.259
14500 298.37
14600 306.518
14700 306.018
14800 301.306
14900 301.95
15000 297.612
15100 299.518
15200 297.251
15300 300.799
15400 303.444
15500 301.197
15600 298.556
15700 296.944
15800 302.692
15900 305.475
16000 299.192
16100 292.31
16200 298.956
16300 297.588
16400 300.757
16500 302.422
16600 293.96
16700 294.75
16800 299.846
16900 299.011
17000 300.384
17100 305.063
17200 303.249
17300 294.857
17400 294.742
17500 295.934
17600 303.408
17700 305.821
17800 303.218
17900 298.206
18000 297.529
18100 298.867
18200 305.777
18300 302.447
18400 292.075
18500 294.67
18600 302.115
18700 303.631
18800 299.635
18900 297.351
19000 297.177
19100 299.615
19200 299.517
19300 300.737
19400 303.159
19500 297.353
19600 293.47
19700 298.322
19800 300.671
19900 303.21
20000 310.298
20100 304.788
20200 301.083
20300 298.158
20400 298.802
20500 298.953
20600 300.766
20700 298.616
20800 298.265
20900 301.817
21000 305.163
21100 299.864
21200 298.561
21300 297.934
21400 302.485
21500 302.928
21600 299.701
21700 300.457
21800 297.793
21900 300.065
22000 301.941
22100 305.287
22200 306.844
22300 295.826
22400 293.998
22500 304.32
22600 302.98
22700 297.36
22800 300.151
22900 299.404
23000 300.784
23100 302.606
23200 307.7
23300 296.743
23400 294.125
23500 302.106
23600 298.468
23700 301.028
23800 304.007
23900 302.69
24000 297.107
24100 298.24
24200 296.029
24300 290.893
24400 292.688
24500 300.774
24600 300.544
24700 299.394
24800 303.3
24900 303.049
25000 298.736
25100 296.067
25200 298.369
25300 298.275
25400 301.985
25500 306.72
25600 295.245
25700 295.779
25800 300.25
25900 302.424
26000 300.559
26100 292.411
26200 295.417
26300 301.583
26400 300.699
26500 307.321
26600 309.515
26700 303.411
