# Time-averaged data for fix solvated_PEG_ave_enthalpy
# TimeStep v_solvated_PEG_enthalpy
100 -3266.74
200 -3256.65
300 -3467.95
400 -3618.49
500 -3386.4
600 -2815.16
700 -2904.15
800 -3216.58
900 -3326.35
1000 -3720.55
1100 -3939.2
1200 -3466.74
1300 -3714.26
1400 -4077.73
1500 -3814.4
1600 -3383.25
1700 -3742.31
1800 -3765.15
1900 -3591.83
2000 -3921.06
2100 -3612.58
2200 -3266.14
2300 -2949.73
2400 -3080.14
2500 -3277.41
2600 -3202.67
2700 -3100.17
2800 -3044.26
2900 -2852.1
3000 -3252.87
3100 -3646.35
3200 -3273.33
3300 -3184.83
3400 -3280.07
3500 -2903.29
3600 -2327.75
3700 -2680.23
3800 -2855.7
3900 -3079.32
4000 -3375.53
4100 -3103.94
4200 -3085.09
4300 -3373.77
4400 -4154.39
4500 -3853.71
4600 -3584.45
4700 -3238.4
4800 -3298.5
4900 -3515.99
5000 -3708.24
5100 -3595.83
5200 -3372.08
5300 -3670.81
5400 -3729.89
5500 -3631.39
5600 -2935.66
5700 -2897.92
5800 -3089.21
5900 -3468.82
6000 -3372.41
6100 -3024.2
6200 -3074.1
6300 -3491.3
6400 -3704.02
6500 -3526.45
6600 -3147.81
6700 -3230.77
6800 -3629.17
6900 -3819.4
7000 -3665.01
7100 -3590.61
7200 -3307.69
7300 -3287.97
7400 -3286.17
7500 -3116.58
7600 -2958.61
7700 -3097.71
7800 -3105
7900 -3112.68
8000 -3531.9
8100 -3194.31
8200 -3027.56
8300 -3274.56
8400 -3219.32
8500 -3217.41
8600 -3034.81
8700 -3389.95
8800 -3453.48
8900 -2671.22
9000 -2402.1
9100 -2890.26
9200 -3505.8
9300 -3661.39
9400 -3659.71
9500 -3583.23
9600 -3427.42
9700 -3757.37
9800 -3561.73
9900 -3165.03
10000 -3248.97
