# Time-averaged data for fix solvated_PEG_ave_vol
# TimeStep v_solvated_PEG_vol
100 42565.6
200 42679.5
300 42944.2
400 43202
500 43319.7
600 43259.8
700 43206.5
800 43225.6
900 43259
1000 43248.4
1100 43160.9
1200 43071.8
1300 43135.3
1400 43241.3
1500 43264.8
1600 43229.9
1700 43281.7
1800 43344
1900 43322.2
2000 43267.3
2100 43120.6
2200 42965.9
2300 42877.1
2400 42933.4
2500 43095.8
2600 43270
2700 43422.3
2800 43490
2900 43530.6
3000 43601.3
3100 43565.8
3200 43358.1
3300 43134.9
3400 42944.7
3500 42733.6
3600 42502.8
3700 42388.4
3800 42390.3
3900 42429.3
4000 42384.4
4100 42216.1
4200 42099.3
4300 42038.8
4400 42013.1
4500 41964.3
4600 41911.5
4700 41845.5
4800 41906.1
4900 42060.5
5000 42229.6
5100 42401
5200 42570.1
5300 42678.1
5400 42665.5
5500 42582.7
5600 42407
5700 42300.8
5800 42293.8
5900 42253.5
6000 42124.9
6100 42008.3
6200 41996.2
6300 42037.4
6400 42085.4
6500 42118.8
6600 42069.7
6700 42011.9
6800 41976.2
6900 41959
7000 42016.5
7100 42086.4
7200 42108.7
7300 42147.2
7400 42192.2
7500 42248.7
7600 42349.5
7700 42510.7
7800 42609.4
7900 42570.2
8000 42521.1
8100 42409.4
8200 42277.7
8300 42228.6
8400 42207.5
8500 42118.7
8600 41938.6
8700 41738
8800 41512.3
8900 41259.4
9000 41092
9100 41097.9
9200 41234.6
9300 41434.4
9400 41609.5
9500 41718.5
9600 41792.8
9700 41881.2
9800 41916.4
9900 41915.8
10000 41965.5
