# Time-averaged data for fix fix_average_atom_type_1_2_coordination_number
# TimeStep c_compute_average_atom_type_1_2_coordination_number
2000 2.33022
4000 1.38326
6000 0.946542
8000 0.798492
10000 0.702928
12000 0.634
14000 0.618618
16000 0.578207
18000 0.527272
20000 0.474899
22000 0.455943
24000 0.440628
26000 0.440297
28000 0.444458
30000 0.437531
32000 0.44005
34000 0.439137
36000 0.438975
38000 0.433603
40000 0.425514
42000 0.430897
44000 0.439219
46000 0.438117
48000 0.431792
50000 0.440759
52000 0.440258
54000 0.43838
56000 0.441495
58000 0.433952
60000 0.440603
62000 0.43832
64000 0.440072
66000 0.439553
68000 0.442441
70000 0.438007
72000 0.443633
74000 0.435655
76000 0.436024
78000 0.439096
80000 0.429424
82000 0.430175
84000 0.434937
86000 0.434243
88000 0.424887
90000 0.434557
92000 0.430653
94000 0.436586
96000 0.43385
98000 0.435629
100000 0.436844
