# Time-averaged data for fix ave_time_2
# TimeStep v_stress
6000 -2.41696e+10
7000 -2.20701e+10
8000 -1.57597e+10
9000 -7.49816e+09
10000 -1.85437e+09
11000 -3.25157e+09
12000 -4.52064e+09
13000 2.25727e+09
14000 9.91562e+09
15000 1.35666e+10
16000 1.0125e+10
17000 1.26142e+10
18000 2.23273e+10
19000 2.68921e+10
20000 2.37778e+10
21000 2.51926e+10
22000 3.55289e+10
23000 3.85727e+10
24000 3.54047e+10
25000 4.04222e+10
26000 4.98971e+10
27000 4.78719e+10
28000 4.66475e+10
29000 5.72979e+10
30000 5.92981e+10
31000 5.53296e+10
32000 6.50552e+10
33000 7.04799e+10
34000 6.41004e+10
35000 7.34029e+10
36000 7.90719e+10
37000 7.28116e+10
38000 8.32283e+10
39000 8.62717e+10
40000 8.14973e+10
41000 9.42365e+10
42000 9.19116e+10
43000 9.19587e+10
44000 1.03051e+11
45000 9.66612e+10
46000 1.05123e+11
47000 1.08687e+11
48000 1.04577e+11
49000 1.17255e+11
50000 1.10768e+11
51000 1.19275e+11
52000 1.20621e+11
53000 1.20608e+11
54000 1.29206e+11
55000 1.23881e+11
56000 1.33894e+11
57000 1.30658e+11
58000 1.37758e+11
59000 1.37854e+11
60000 1.40643e+11
61000 1.44588e+11
62000 1.44079e+11
63000 1.50815e+11
64000 1.48175e+11
65000 1.56735e+11
66000 1.53117e+11
67000 1.61101e+11
68000 1.57791e+11
69000 1.65569e+11
70000 1.63178e+11
71000 1.69994e+11
72000 1.68928e+11
73000 1.73583e+11
74000 1.74306e+11
75000 1.7696e+11
76000 1.80596e+11
77000 1.79757e+11
78000 1.87291e+11
79000 1.83123e+11
80000 1.91176e+11
81000 1.888e+11
82000 1.9282e+11
83000 1.96908e+11
84000 1.95509e+11
85000 2.01477e+11
86000 2.00717e+11
87000 2.02968e+11
88000 2.07769e+11
89000 2.05836e+11
90000 2.10105e+11
91000 2.13399e+11
92000 2.12808e+11
93000 2.16538e+11
94000 2.18415e+11
95000 2.18967e+11
96000 2.2309e+11
97000 2.23862e+11
98000 2.25003e+11
99000 2.29639e+11
100000 2.29999e+11
101000 2.30259e+11
102000 2.35225e+11
103000 2.35364e+11
104000 2.36918e+11
105000 2.41206e+11
106000 2.41296e+11
107000 2.42969e+11
108000 2.46273e+11
109000 2.4763e+11
110000 2.4951e+11
111000 2.51174e+11
112000 2.53051e+11
113000 2.55756e+11
114000 2.56889e+11
115000 2.58903e+11
116000 2.61383e+11
117000 2.62133e+11
118000 2.6415e+11
119000 2.67252e+11
120000 2.67373e+11
121000 2.69586e+11
122000 2.72753e+11
123000 2.73332e+11
124000 2.75543e+11
125000 2.78079e+11
126000 2.78304e+11
127000 2.80775e+11
128000 2.8327e+11
129000 2.83765e+11
130000 2.85532e+11
131000 2.87967e+11
132000 2.89349e+11
133000 2.9084e+11
134000 2.93076e+11
135000 2.94197e+11
136000 2.96282e+11
137000 2.96707e+11
138000 2.99101e+11
139000 3.00864e+11
140000 3.0174e+11
141000 3.03682e+11
142000 3.0466e+11
143000 3.06709e+11
144000 3.0874e+11
145000 3.09603e+11
146000 3.09794e+11
147000 3.12556e+11
148000 3.1395e+11
149000 3.15453e+11
150000 3.16593e+11
151000 3.17969e+11
152000 3.19556e+11
153000 3.20782e+11
154000 3.21717e+11
155000 3.23165e+11
156000 3.24722e+11
157000 3.26455e+11
158000 3.26864e+11
159000 3.28532e+11
160000 3.29585e+11
161000 3.3022e+11
162000 3.32006e+11
163000 3.33042e+11
164000 3.34663e+11
165000 3.35256e+11
166000 3.36558e+11
167000 3.37281e+11
168000 3.38548e+11
169000 3.39318e+11
170000 3.40605e+11
171000 3.42199e+11
172000 3.42793e+11
173000 3.44152e+11
174000 3.44786e+11
175000 3.45631e+11
176000 3.47024e+11
177000 3.48497e+11
178000 3.49497e+11
179000 3.49939e+11
180000 3.50835e+11
181000 3.51472e+11
182000 3.52049e+11
183000 3.53271e+11
184000 3.54452e+11
185000 3.55224e+11
186000 3.56984e+11
187000 3.58111e+11
188000 3.58008e+11
189000 3.57781e+11
190000 3.59366e+11
191000 3.60793e+11
192000 3.61593e+11
193000 3.62364e+11
194000 3.61688e+11
195000 3.63919e+11
196000 3.64597e+11
197000 3.65186e+11
198000 3.65317e+11
199000 3.65386e+11
200000 3.67767e+11
201000 3.68615e+11
202000 3.68787e+11
203000 3.68791e+11
204000 3.69423e+11
205000 3.70613e+11
206000 3.71527e+11
207000 3.72648e+11
208000 3.72884e+11
209000 3.7302e+11
210000 3.74215e+11
211000 3.74861e+11
212000 3.7611e+11
213000 3.76775e+11
214000 3.77913e+11
215000 3.77898e+11
216000 3.78626e+11
217000 3.79722e+11
218000 3.80619e+11
219000 3.81574e+11
220000 3.83232e+11
221000 3.8241e+11
222000 3.83603e+11
223000 3.84494e+11
224000 3.86206e+11
225000 3.8613e+11
226000 3.86174e+11
227000 3.88599e+11
228000 3.88422e+11
229000 3.90375e+11
230000 3.90325e+11
231000 3.91709e+11
232000 3.92054e+11
233000 3.93463e+11
234000 3.93895e+11
235000 3.94709e+11
236000 3.96116e+11
237000 3.97483e+11
238000 3.98226e+11
239000 3.98564e+11
240000 4.00268e+11
241000 4.00168e+11
242000 4.01854e+11
243000 4.03129e+11
244000 4.04592e+11
245000 4.06033e+11
246000 4.06697e+11
247000 4.0716e+11
248000 4.08392e+11
249000 4.09679e+11
250000 4.09555e+11
251000 4.12435e+11
252000 4.12495e+11
253000 4.14985e+11
254000 4.14078e+11
255000 4.16979e+11
256000 4.18291e+11
257000 4.20998e+11
258000 4.21385e+11
259000 4.22382e+11
260000 4.23107e+11
261000 4.2752e+11
262000 4.272e+11
263000 4.2683e+11
264000 4.30148e+11
265000 4.32478e+11
266000 4.32116e+11
267000 4.33819e+11
268000 4.36928e+11
269000 4.37359e+11
270000 4.39107e+11
271000 4.42096e+11
272000 4.42285e+11
273000 4.45518e+11
274000 4.45952e+11
275000 4.47803e+11
276000 4.48921e+11
277000 4.50742e+11
278000 4.52735e+11
279000 4.54407e+11
280000 4.56002e+11
281000 4.57523e+11
282000 4.59771e+11
283000 4.61865e+11
284000 4.62771e+11
285000 4.66229e+11
286000 4.66418e+11
287000 4.67943e+11
288000 4.70538e+11
289000 4.71016e+11
290000 4.73054e+11
291000 4.75581e+11
292000 4.76965e+11
293000 4.7876e+11
294000 4.81329e+11
295000 4.82163e+11
296000 4.83507e+11
297000 4.84089e+11
298000 4.84412e+11
299000 4.87637e+11
300000 4.88179e+11
301000 4.90733e+11
302000 4.91366e+11
303000 4.91595e+11
304000 4.92822e+11
305000 4.92771e+11
306000 4.95502e+11
307000 4.94917e+11
308000 4.97295e+11
309000 4.97683e+11
310000 4.98224e+11
311000 5.0045e+11
312000 5.01367e+11
313000 5.02972e+11
314000 5.03954e+11
315000 5.0471e+11
316000 5.06399e+11
317000 5.08646e+11
318000 5.08155e+11
319000 5.09508e+11
320000 5.10328e+11
321000 5.1197e+11
322000 5.13063e+11
323000 5.12142e+11
324000 5.14109e+11
325000 5.13528e+11
326000 5.17825e+11
327000 5.17424e+11
328000 5.17191e+11
329000 5.17434e+11
330000 5.16848e+11
331000 5.19245e+11
332000 5.18166e+11
333000 5.19964e+11
334000 5.19596e+11
335000 5.20604e+11
336000 5.19761e+11
337000 5.20498e+11
338000 5.20542e+11
339000 5.21794e+11
340000 5.22745e+11
341000 5.21273e+11
342000 5.21243e+11
343000 5.2006e+11
344000 5.21928e+11
345000 5.23446e+11
346000 5.23086e+11
347000 5.22923e+11
348000 5.24427e+11
349000 5.26476e+11
350000 5.24129e+11
351000 5.25064e+11
352000 5.2416e+11
353000 5.24916e+11
354000 5.25172e+11
355000 5.2618e+11
356000 5.25875e+11
357000 5.24724e+11
358000 5.25572e+11
359000 5.25596e+11
360000 5.20188e+11
361000 5.17211e+11
362000 5.11241e+11
363000 5.07227e+11
364000 5.03533e+11
365000 5.06869e+11
366000 5.05432e+11
367000 5.05359e+11
368000 5.0369e+11
369000 4.97899e+11
370000 5.3257e+10
371000 -1.69551e+10
372000 5.44044e+08
