# Time-averaged data for fix ave_time_2
# TimeStep f_carbon_top_force[1] f_carbon_bottom_force[1]
100 -0.349235 0.00318449
200 -0.376808 0.442034
300 0.429298 -0.334065
400 0.169657 -2.326
500 1.60131 0.754444
600 0.574515 0.982821
700 -1.11666 2.60807
800 -0.302436 -1.35055
900 0.287323 -0.206756
1000 -0.0677238 0.495749
1100 -0.550013 0.739884
1200 -0.396138 -0.0686978
1300 -0.925129 -0.765936
1400 -0.801894 -0.620755
1500 1.19806 0.469579
1600 0.812778 -1.9523
1700 -1.31373 1.78444
1800 1.23597 1.28777
1900 2.2299 -0.0904074
2000 -0.0839437 -2.8561
2100 -1.50873 -0.508136
2200 -0.935847 0.213967
2300 -1.18927 -0.25266
2400 -0.497603 0.998378
2500 0.799888 0.000152152
2600 -1.03159 0.117438
2700 0.312533 1.4948
2800 0.795539 0.593508
2900 -0.124484 -0.340118
3000 0.483428 0.343038
3100 0.467032 1.11004
3200 -1.74441 -1.43086
3300 1.4192 -0.715353
3400 -0.782155 -1.1948
3500 1.71643 -0.79235
3600 1.44263 -0.451377
3700 -0.908875 0.974138
3800 -0.956655 0.962359
3900 -0.161867 1.49896
4000 1.48716 0.50898
4100 -0.267479 -0.0222915
4200 -0.763642 -0.206133
4300 -1.35734 -1.63489
4400 -0.485166 -0.361059
4500 -1.31362 1.24994
4600 -1.0156 0.134744
4700 0.444577 0.841421
4800 3.36756 0.474852
4900 1.35284 -1.01208
5000 -0.186823 -1.43844
5100 -0.593925 0.0503576
5200 -0.886225 0.228315
5300 -0.303088 -1.34352
5400 -0.0374906 0.177654
5500 -0.089742 1.37258
5600 -0.104501 -1.79536
5700 0.499693 -0.350445
5800 -1.23507 0.673705
5900 -0.166242 1.2971
6000 0.428928 2.30349
6100 -1.82828 1.23373
6200 0.932988 -1.41425
6300 0.378392 -1.12186
6400 -0.485951 -0.505376
6500 -0.307072 -0.468204
6600 0.902836 -0.64833
6700 0.132202 1.11423
6800 1.82952 0.520961
6900 0.174814 -1.37709
7000 1.45354 0.702855
7100 -1.26572 1.46919
7200 0.864941 -1.00865
7300 0.065225 -0.268588
7400 -1.37386 0.655075
7500 -3.12332 0.530392
7600 -1.59175 0.565179
7700 1.88305 0.743888
7800 2.26701 -1.82161
7900 -0.00656265 -0.175994
8000 -0.686802 0.579529
8100 -0.465476 1.27348
8200 -0.47462 -0.345471
8300 0.34876 -1.78125
8400 0.519843 -0.378346
8500 -0.469262 -0.894781
8600 0.505011 0.196958
8700 0.0587367 -1.71909
8800 -1.19754 0.731145
8900 0.922108 1.11809
9000 -1.70212 2.77503
9100 -1.14485 0.318949
9200 1.34086 -0.94198
9300 1.32216 0.305421
9400 -1.14337 -0.931114
9500 -0.174401 -0.0980311
9600 -1.35862 -0.858063
9700 -0.56135 2.18769
9800 0.738313 -1.11881
9900 3.05344 -0.452399
10000 1.16526 0.331911
10100 0.00941997 0.619221
10200 0.668243 -1.12011
10300 -0.448919 0.561185
10400 -1.46963 1.05299
10500 -0.925676 0.706725
10600 -0.628965 0.958129
10700 -0.121024 -1.18298
10800 0.143449 0.0508921
10900 -0.170326 -0.636254
11000 -0.45723 2.06567
11100 -0.512728 0.973208
11200 1.54955 -1.15477
11300 0.433078 -0.422007
11400 -0.509039 -1.89871
11500 0.897584 -1.12134
11600 -0.461113 -0.469282
11700 -0.74461 0.134307
11800 0.537972 0.425082
11900 -0.588889 0.201287
12000 -0.831798 1.05813
12100 -0.1097 0.677624
12200 0.816073 -0.720768
12300 -0.71824 -0.773496
12400 -1.30088 1.98631
12500 -0.504464 0.906746
12600 -1.59092 -0.807215
12700 0.967614 -0.82825
12800 1.31789 0.338989
12900 0.931374 -0.341177
13000 1.11806 0.151411
13100 0.174491 -0.05487
13200 -0.386852 -0.342788
13300 -0.0064479 0.641232
13400 -0.0215434 0.323159
13500 0.981354 -0.0762154
13600 -0.373871 -0.645846
13700 -1.25996 0.683429
13800 -0.400783 -0.0385322
13900 -1.60019 2.29339
14000 1.08842 0.100471
14100 0.290063 1.5647
14200 -0.710976 0.00555114
14300 1.036 -1.25791
14400 -0.0555903 -2.83203
14500 -0.216914 1.10613
14600 -0.116482 0.741887
14700 1.26827 -1.22392
14800 -1.48271 0.443526
14900 0.0320089 -0.775199
15000 0.946041 -0.302092
15100 1.20272 -0.673188
15200 -1.25697 0.323203
15300 -2.01189 1.50994
15400 -1.57275 0.430139
15500 0.782738 -0.0496572
15600 0.138434 -0.817651
15700 -1.18625 0.733728
15800 -1.10682 -0.376068
15900 0.809803 0.437014
16000 1.73172 0.241082
16100 -0.463604 0.351451
16200 -0.150319 -0.89191
16300 0.916712 0.229027
16400 0.657261 -0.868179
16500 0.340978 -1.76258
16600 0.363109 1.64076
16700 -0.214457 1.37095
16800 -0.976798 0.715374
16900 0.833904 1.58603
17000 -1.16379 -1.27802
17100 -0.67776 -0.0628301
17200 -0.521851 1.40592
17300 0.487802 0.534974
17400 0.876936 0.122049
17500 0.135395 1.1542
17600 -0.888557 -1.77076
17700 -0.603371 -1.27803
17800 1.58182 -0.182561
17900 1.6803 0.402954
18000 0.416786 -0.517585
18100 -2.31674 0.749001
18200 -0.199933 -0.0744847
18300 -0.829644 -1.42008
