# Time-averaged data for fix ave_time_3
# TimeStep c_carbon_middle_temp
100 237.888
200 259.962
300 267.771
400 277.11
500 279.372
600 288.038
700 284.429
800 292.514
900 291
1000 294.369
1100 298.741
1200 295.746
1300 299.142
1400 295.597
1500 299.06
1600 297.908
1700 299.845
1800 301.026
1900 297.357
2000 299.069
2100 299.572
2200 301.763
2300 299.575
2400 299.466
2500 299.563
2600 303.409
2700 298.258
2800 300.036
2900 295.637
3000 302.634
3100 298.083
3200 299.274
3300 301.292
3400 300.002
3500 301.359
3600 298.334
3700 298.396
3800 301.948
3900 300.039
4000 302.21
4100 299.323
4200 296.427
4300 302.268
4400 299.709
4500 302.525
4600 296.464
4700 301.854
4800 298.43
4900 301.208
5000 300.441
5100 298.849
5200 298.199
5300 301.803
5400 299.518
5500 302.074
5600 301.836
5700 297.044
5800 297.579
5900 299.903
6000 300.552
6100 302.519
6200 298.072
6300 296.689
6400 300.776
6500 303.143
6600 300.139
6700 299.026
6800 298.94
6900 299.622
7000 301.936
7100 300.532
7200 300.553
7300 299.01
7400 296.848
7500 301.602
7600 301.427
7700 299.946
7800 301.238
7900 298.758
8000 297.869
8100 300.257
8200 300.65
8300 300.355
8400 301.696
8500 297.337
8600 299.836
8700 302.829
8800 299.944
8900 299.578
9000 298.091
9100 301.52
9200 296.59
9300 302.908
9400 301.562
9500 297.481
9600 300.147
9700 298.954
9800 301.271
9900 299.576
10000 301.829
10100 296.419
10200 300.839
10300 301.314
10400 299.179
10500 303.27
10600 298.283
10700 296.614
10800 302.769
10900 301.93
11000 297.766
11100 300.599
11200 297.824
11300 300.553
11400 300.472
11500 300.829
11600 301.584
11700 294.53
11800 301.284
11900 301.227
12000 299.042
12100 302.961
12200 298.224
12300 297.993
12400 303.323
12500 299.025
12600 300.535
12700 299.928
12800 297.517
12900 298.393
13000 302.922
13100 298.361
13200 300.933
13300 298.91
13400 300.632
13500 301.171
13600 300.947
13700 300.145
13800 296.936
13900 299.992
14000 298.689
14100 302.765
14200 301.061
14300 297.857
14400 300.698
14500 300.558
14600 299.247
14700 300.463
14800 298.973
14900 298.922
15000 299.302
15100 303.444
15200 299.886
15300 298.104
15400 298.379
15500 301.149
15600 299.305
15700 303.804
15800 300.302
15900 297.271
16000 296.778
16100 302.699
16200 301.143
16300 297.922
16400 299.351
16500 300.886
16600 300.219
16700 300.034
16800 299.206
16900 299.131
17000 298.711
17100 302.689
17200 300.676
17300 300.825
17400 300.684
17500 296.418
17600 300.242
17700 300.731
17800 301.852
17900 300.97
18000 297.059
18100 299.376
18200 299.807
18300 302.526
18400 299.238
18500 297.452
18600 301.634
18700 299.902
18800 299.699
18900 300.83
19000 297.385
19100 299.205
19200 303.453
19300 298.601
19400 302.087
19500 296.939
19600 300.671
19700 296.861
19800 303.993
19900 301.232
20000 298.984
20100 297.517
20200 301.249
20300 300.275
20400 299.319
20500 302.382
20600 296.903
20700 301.692
20800 299.584
20900 300.887
21000 298.553
21100 299.542
21200 301.185
21300 300.971
21400 298.33
21500 299.675
21600 299.404
21700 297.696
21800 304.271
21900 300.532
22000 298.464
22100 300.085
22200 299.136
22300 298.795
22400 303.974
22500 296.715
22600 301.737
22700 298.913
22800 301.397
22900 298.633
23000 299.348
23100 298.223
23200 300.698
23300 301.702
23400 301.144
23500 297.871
23600 298.817
23700 302.644
23800 297.795
23900 302.081
24000 299.026
24100 299.075
24200 302.418
24300 297.264
24400 301.119
24500 299.136
24600 299.369
24700 299.432
24800 302.054
24900 300.121
25000 300.188
25100 297.982
25200 299.652
25300 301.53
25400 302.808
25500 298.333
25600 298.39
25700 300.172
25800 300.15
25900 298.487
26000 302.894
26100 297.808
26200 300.249
26300 300.411
26400 297.723
26500 298.87
26600 301.77
26700 298.84
26800 303.646
26900 298.615
27000 298.795
27100 298.271
27200 301.857
27300 301.509
27400 299.666
27500 298.459
27600 299.6
27700 300.861
27800 299.297
27900 301.37
28000 297.545
28100 300.442
28200 301.37
28300 300.999
28400 298.508
28500 296.116
28600 302.329
28700 301.133
28800 303.009
28900 299.814
29000 296.871
29100 297.973
29200 301.922
29300 302.302
29400 299.256
29500 297.248
29600 300.282
29700 298.8
29800 302.798
29900 299.837
30000 298.965
30100 299.857
30200 298.968
30300 300.542
30400 301.057
30500 299.357
30600 298.357
30700 302.294
30800 299.432
30900 300.514
31000 298.335
31100 299.417
31200 300.371
31300 300.222
31400 301.292
31500 298.432
31600 300.119
31700 301.12
31800 298.411
31900 300.337
32000 300.635
32100 299.008
32200 300.173
32300 299.639
32400 301.009
32500 298.793
32600 299.942
32700 302.996
32800 295.925
32900 300.265
33000 300.964
33100 299.605
33200 299.447
33300 300.278
33400 299.302
33500 301.631
33600 297.821
33700 301.608
33800 299.178
33900 301.697
34000 299.323
34100 298.976
34200 300.614
34300 300.047
34400 300.661
34500 297.201
34600 299.717
34700 300.189
34800 300.082
34900 299.269
35000 303.044
35100 298.177
35200 301.034
35300 300.59
35400 300.269
35500 299.088
35600 299.013
35700 299.666
35800 299.898
35900 300.472
36000 299.811
36100 298.158
36200 300.977
36300 299.421
36400 300.873
36500 301.85
36600 298.461
36700 298.406
36800 298.654
36900 302.979
37000 299.563
37100 301.94
37200 297.015
37300 298.266
37400 301.46
37500 299.973
37600 300.667
37700 298.039
37800 301.3
37900 297.823
38000 301.595
38100 299.632
38200 300.902
38300 299.003
38400 300.293
38500 300.583
38600 299.11
38700 301.02
38800 299.298
38900 300.796
39000 300.06
39100 298.097
39200 300.438
39300 297.839
39400 302.778
39500 297.974
39600 300.668
39700 302.307
39800 299.227
39900 296.52
40000 302.829
40100 299.394
40200 300.717
40300 300.416
40400 298.603
40500 299.269
40600 300.382
40700 300.827
40800 298.75
40900 299.861
41000 298.736
41100 300.68
41200 300.53
41300 300.229
41400 296.487
41500 303.311
41600 299.16
41700 300.828
41800 300.621
41900 298.586
42000 299.353
42100 300.307
42200 301.134
42300 297.459
42400 299.987
42500 301.14
42600 299.365
42700 300.529
42800 298.067
42900 299.719
43000 299.268
43100 303.384
43200 298.156
43300 299.842
43400 299.171
43500 301.986
43600 299.506
43700 297.698
43800 300.317
43900 299.774
44000 304.603
44100 298.1
44200 298.769
44300 297.552
44400 300.106
44500 301.884
44600 300.336
44700 296.598
44800 300.301
44900 299.796
45000 302.727
45100 299.862
45200 298.096
45300 300.279
45400 300.457
45500 299.417
45600 300.582
45700 299.38
45800 299.872
45900 299.51
46000 301.847
46100 297.987
46200 300.181
46300 300.628
46400 300.43
46500 297.697
46600 299.703
46700 302.137
46800 298.612
46900 301.111
47000 298.82
47100 298.499
47200 300.996
47300 301.073
47400 299.226
47500 298.587
47600 299.735
47700 300.754
47800 300.072
47900 299.345
48000 300.745
48100 301.139
48200 295.863
48300 300.963
48400 299.743
48500 303.229
48600 297.969
48700 301.04
48800 297.927
48900 300.554
49000 299.102
49100 300.489
49200 300.722
49300 298.603
49400 300.698
49500 299.477
49600 300.976
49700 298.099
49800 299.561
49900 299.199
50000 302.758
50100 300.309
50200 298.918
50300 301.843
50400 298.117
50500 300.102
50600 298.919
50700 300.963
50800 297.97
50900 300.748
51000 301.735
51100 297.949
51200 299.884
51300 299.615
51400 300.414
51500 300.39
51600 300.819
51700 296.513
51800 302.274
51900 301.834
52000 299.147
52100 298.141
52200 298.668
52300 302.6
52400 299.176
52500 298.2
52600 298.782
52700 301.379
52800 301.583
52900 300.827
53000 296.822
53100 300.429
53200 301.008
53300 301.204
53400 298.505
53500 298.796
53600 298.246
53700 302.72
53800 300.391
53900 298.93
54000 300.045
54100 298.458
54200 302.326
54300 299.242
54400 298.544
54500 300.541
54600 300.618
54700 298.878
54800 299.36
54900 301.694
55000 298.713
55100 299.385
55200 299.862
55300 302.174
55400 297.606
55500 301.277
55600 298.01
55700 301.332
55800 298.991
55900 300.273
56000 298.889
56100 300.029
56200 300.354
56300 300.034
56400 300.898
56500 295.788
56600 300.91
56700 303.395
56800 298.276
56900 300.531
57000 297.953
57100 301.183
57200 299.357
57300 298.568
57400 299.354
57500 301.427
57600 299.025
57700 301.428
57800 301.84
57900 297.564
58000 298.877
58100 300.432
58200 301.666
58300 298.806
58400 300.787
58500 297.194
58600 300.232
58700 301.163
58800 302.623
58900 296.666
59000 298.604
59100 299.046
59200 304.232
59300 297.986
59400 299.312
59500 298.232
59600 301.034
59700 300.141
59800 300.515
59900 299.311
60000 300.161
60100 299.532
60200 301.344
60300 300.299
60400 296.839
60500 301.513
60600 299.66
60700 300.953
60800 296.759
60900 298.193
61000 301.292
61100 300.153
61200 302.504
61300 296.995
61400 301.513
61500 298.903
61600 300.79
61700 300.583
61800 299.831
61900 301.026
62000 300.544
62100 299.392
62200 298.537
62300 302.134
62400 298.462
62500 298.907
62600 300.478
62700 299.496
62800 298.892
62900 303.915
63000 296.088
63100 299.649
63200 303.853
63300 298.269
63400 297.986
63500 301.111
63600 299.996
63700 300.422
63800 301.29
63900 299.149
64000 298.582
64100 298.819
64200 303.025
64300 298.07
64400 300.372
64500 298.743
64600 299.424
64700 302.26
64800 298.241
64900 301.591
65000 298.359
65100 301.238
65200 300.28
65300 300.489
65400 297.919
65500 301.206
65600 298.933
65700 298.84
65800 300.423
65900 299.386
66000 298.62
66100 302.297
66200 298.813
66300 301.43
66400 299.194
66500 299.96
66600 301.183
66700 298.587
66800 300.514
66900 298.642
67000 300.175
67100 300.112
67200 299.355
67300 301.728
67400 297.039
67500 300.611
67600 299.998
67700 301.533
67800 296.13
67900 303.404
68000 297.777
68100 301.484
68200 298.25
68300 300.369
68400 300.862
68500 298.907
68600 300.447
68700 299.765
68800 300.082
68900 299.013
69000 299.881
69100 299.769
69200 300.281
69300 299.314
69400 299.481
69500 297.672
69600 301.511
69700 301.208
69800 300.205
69900 298.772
70000 301.1
70100 300.552
70200 298.495
70300 301.975
70400 297.018
70500 299.805
70600 299.669
70700 301.798
70800 297.233
70900 298.515
71000 301.535
71100 301.899
71200 297.952
71300 298.899
71400 302.908
71500 298.615
71600 298.048
71700 304.263
71800 298.573
71900 298.766
72000 300.492
72100 300.798
72200 297.472
72300 299.854
72400 300.845
72500 298.664
72600 299.7
72700 299.377
72800 300.963
72900 298.643
73000 299.928
73100 300.045
73200 299.093
73300 300.7
73400 300.678
73500 298.826
73600 301.262
73700 297.92
73800 301.034
73900 300.106
74000 296.65
74100 299.704
74200 302.358
74300 298.747
74400 298.665
74500 302.211
74600 299.973
74700 300.327
74800 299.6
74900 302.256
75000 298.485
75100 297.935
75200 300.539
75300 301.387
75400 299.236
75500 299.935
75600 298.714
75700 299.918
75800 299.57
75900 299.563
76000 299.44
76100 301.447
76200 298.345
76300 301.352
76400 298.638
76500 302.006
76600 301.678
76700 296.193
76800 301.237
76900 298.638
77000 302.061
77100 297.668
77200 299.649
77300 300.846
77400 300.452
77500 298.819
77600 299.296
77700 300.986
77800 299.088
77900 301.85
78000 300.166
78100 297.041
78200 301.291
78300 300.058
78400 299.392
78500 298.989
78600 299.228
78700 302.787
78800 298.007
78900 299.274
79000 299.481
79100 299.561
79200 298.765
79300 301.957
79400 300.149
79500 300.663
79600 300.44
79700 299.307
79800 298.713
79900 298.036
80000 301.572
80100 298.991
80200 298.994
80300 303.305
80400 299.304
80500 299.839
80600 299.739
80700 300.094
80800 298.228
80900 301.438
81000 301.822
81100 299.393
81200 302.477
81300 297.59
81400 297.287
81500 302.259
81600 295.373
81700 302.823
81800 301.018
81900 300.373
82000 297.857
82100 299.27
82200 299.101
82300 299.918
82400 300.415
82500 299.214
82600 301.575
82700 299.782
82800 298.913
82900 302.042
83000 298.893
83100 299.546
83200 298.752
83300 300.285
83400 301.323
83500 299.862
83600 298.969
83700 299.063
83800 299.971
83900 300.183
84000 299.572
84100 300.293
84200 297.656
84300 302.031
84400 299.734
84500 302.699
84600 299.596
84700 300.281
84800 296.981
84900 300.981
85000 297.404
85100 301.437
85200 299.567
85300 300.986
85400 299.973
85500 298.709
85600 299.913
85700 299.403
85800 300.314
85900 300.355
86000 300.264
86100 298.595
86200 300.336
86300 300.425
86400 298.474
86500 299.982
86600 300.958
86700 299.85
86800 299.778
86900 298.898
87000 302.216
87100 298.246
87200 300.824
87300 297.27
87400 300.364
87500 301.25
87600 298.423
87700 300.873
87800 301.183
87900 299.135
88000 301.76
88100 296.907
88200 300.077
88300 300.856
88400 300.256
88500 300.26
88600 299.309
88700 299.715
88800 301.279
88900 299.291
89000 298.747
89100 300.081
89200 300.451
89300 300.169
89400 299.631
89500 301.494
89600 298.994
89700 296.937
89800 300.368
89900 298.916
90000 301.334
90100 299.448
90200 300.073
90300 299.815
90400 299.662
90500 302.216
90600 297.878
90700 301.431
90800 297.982
90900 299.961
91000 304.291
91100 297.484
91200 298.715
91300 296.837
91400 299.011
91500 301.841
91600 299.588
91700 301.874
91800 299.789
91900 299.135
92000 301.089
92100 298.436
92200 301.22
92300 298.972
92400 301.181
92500 298.557
92600 301.173
92700 301.93
92800 301.18
92900 298.121
93000 298.894
93100 299.474
93200 298.591
93300 301.531
93400 299.927
93500 297.431
93600 300.878
93700 297.763
93800 301.626
93900 300.673
94000 298.462
94100 300.716
94200 301.722
94300 298.625
94400 299.903
94500 301.163
94600 295.592
94700 301.806
94800 299.89
94900 299.244
95000 302.937
95100 298.012
95200 300.119
95300 300.846
95400 296.856
95500 301.296
95600 301.065
95700 298.536
95800 300.316
95900 301.672
96000 299.568
96100 299.773
96200 300.988
96300 299.86
96400 300.68
96500 298.035
96600 297.854
96700 301.252
96800 301.195
96900 297.977
97000 301.462
97100 299.204
97200 299.104
97300 300.17
97400 301.998
97500 297.708
97600 300.326
97700 300.35
97800 297.04
97900 301.819
98000 302.351
98100 297.479
98200 299.356
98300 298.924
98400 299.705
98500 301.077
98600 300.718
98700 298.635
98800 300.559
98900 302.386
99000 297.075
99100 300.529
99200 297.895
99300 301.79
99400 299.324
99500 299.214
99600 299.252
99700 302.927
99800 299.885
99900 297.52
100000 300.89
100100 299.683
100200 300.513
100300 299.991
100400 299.056
100500 299.302
100600 302.094
100700 296.127
100800 300.754
100900 302.245
101000 299.229
101100 298.432
101200 299.166
101300 302.922
101400 300.391
101500 299.439
101600 299.231
101700 301.432
101800 297.497
101900 300.019
102000 301.606
102100 300.671
102200 297.07
102300 300.214
102400 300.231
102500 300.066
102600 299.334
102700 298.442
102800 301.082
102900 300.815
103000 297.442
103100 300.315
103200 300.673
103300 299.224
103400 300.749
103500 298.368
103600 300.31
103700 299.926
103800 300.599
103900 298.308
104000 302.999
104100 298.128
104200 299.069
104300 299.671
104400 299.498
104500 301.345
104600 300.257
104700 298.454
104800 300.073
104900 301.226
105000 300.131
105100 299.605
105200 302.322
105300 299.282
105400 300.333
105500 300.242
105600 299.468
105700 298.301
105800 296.828
105900 300.633
106000 299.259
106100 303.002
106200 299.773
106300 299.957
106400 299.09
106500 299.121
106600 299.654
106700 299.724
106800 300.447
106900 298.231
107000 301.552
107100 299.974
107200 300.15
107300 297.706
107400 300.693
107500 300.12
107600 302.052
107700 298.989
107800 299.306
107900 299.273
108000 299.773
108100 299.653
108200 299.994
108300 300.855
108400 298.856
108500 300.504
108600 300.735
108700 298.73
108800 299.157
108900 299.289
109000 299.117
109100 299.617
109200 299.74
109300 301.363
109400 298.488
109500 301.555
109600 299.452
109700 300.209
109800 300.498
109900 300.173
110000 299.842
110100 300.925
110200 297.659
110300 301.894
110400 298.553
110500 297.201
110600 302.109
110700 298.323
110800 299.156
110900 297.99
111000 301.669
111100 299.712
111200 302.974
111300 297.53
111400 302.481
111500 299.185
111600 299.497
111700 300.825
111800 300.643
111900 297.615
112000 299.648
112100 298.909
112200 300.264
112300 298.562
112400 301.557
112500 299.748
112600 300.443
112700 299.913
112800 299.846
112900 297.56
113000 299.944
113100 301.521
113200 301.479
113300 298.67
113400 299.064
113500 300.843
113600 298.708
113700 300.928
113800 298.604
113900 298.338
114000 300.876
114100 298.486
114200 303.741
114300 297.564
114400 299.861
114500 298.916
114600 301.927
114700 297.473
114800 302.946
114900 299.953
115000 298.263
115100 303.107
115200 297.349
115300 299.213
115400 301.705
115500 297.301
115600 300.989
115700 301.566
115800 301.7
115900 296.935
116000 299.413
116100 299.962
116200 299.245
116300 301.194
116400 301.099
116500 298.859
116600 303.718
116700 295.336
116800 301.424
116900 300.347
117000 299.611
117100 299.941
117200 301.291
117300 299.639
117400 300.742
117500 298.159
117600 300.777
117700 299.035
117800 301.054
117900 302.001
118000 297.073
118100 301.272
118200 300.185
118300 302.116
118400 297.425
118500 299.039
118600 299.08
118700 299.835
118800 299.116
118900 300.323
119000 298.981
119100 302.345
119200 298.816
119300 301.247
119400 299.873
119500 300.061
119600 299.445
119700 299.7
119800 302.798
119900 296.609
120000 301.554
120100 296.294
