# Time-averaged data for fix ave_time_1
# TimeStep v_stress
6000 -1.04811e+09
7000 -9.5707e+08
8000 -6.83418e+08
9000 -3.25158e+08
10000 -8.04147e+07
11000 -1.41004e+08
12000 -1.96038e+08
13000 9.78866e+07
14000 4.29991e+08
15000 5.88318e+08
16000 4.39071e+08
17000 5.47015e+08
18000 9.68223e+08
19000 1.16618e+09
20000 1.03112e+09
21000 1.09248e+09
22000 1.54071e+09
23000 1.67271e+09
24000 1.53532e+09
25000 1.75291e+09
26000 2.16379e+09
27000 2.07596e+09
28000 2.02287e+09
29000 2.48473e+09
30000 2.57146e+09
31000 2.39937e+09
32000 2.82112e+09
33000 3.05636e+09
34000 2.77971e+09
35000 3.18312e+09
36000 3.42896e+09
37000 3.15748e+09
38000 3.6092e+09
39000 3.74117e+09
40000 3.53413e+09
41000 4.08657e+09
42000 3.98575e+09
43000 3.98779e+09
44000 4.46882e+09
45000 4.19171e+09
46000 4.55866e+09
47000 4.71323e+09
48000 4.53497e+09
49000 5.08476e+09
50000 4.80347e+09
51000 5.17238e+09
52000 5.23075e+09
53000 5.23018e+09
54000 5.60304e+09
55000 5.37211e+09
56000 5.80631e+09
57000 5.66599e+09
58000 5.9739e+09
59000 5.97803e+09
60000 6.09899e+09
61000 6.27006e+09
62000 6.24799e+09
63000 6.54011e+09
64000 6.42561e+09
65000 6.79682e+09
66000 6.63993e+09
67000 6.98613e+09
68000 6.84262e+09
69000 7.17989e+09
70000 7.07623e+09
71000 7.3718e+09
72000 7.32556e+09
73000 7.52744e+09
74000 7.55879e+09
75000 7.67388e+09
76000 7.83157e+09
77000 7.79517e+09
78000 8.12189e+09
79000 7.94112e+09
80000 8.29035e+09
81000 8.18731e+09
82000 8.36164e+09
83000 8.53893e+09
84000 8.47827e+09
85000 8.73708e+09
86000 8.70409e+09
87000 8.80172e+09
88000 9.00989e+09
89000 8.9261e+09
90000 9.1112e+09
91000 9.25405e+09
92000 9.22842e+09
93000 9.39018e+09
94000 9.47158e+09
95000 9.49553e+09
96000 9.6743e+09
97000 9.70779e+09
98000 9.75725e+09
99000 9.95831e+09
100000 9.97391e+09
101000 9.98517e+09
102000 1.02005e+10
103000 1.02066e+10
104000 1.02739e+10
105000 1.04599e+10
106000 1.04638e+10
107000 1.05364e+10
108000 1.06797e+10
109000 1.07385e+10
110000 1.082e+10
111000 1.08922e+10
112000 1.09736e+10
113000 1.10909e+10
114000 1.114e+10
115000 1.12273e+10
116000 1.13349e+10
117000 1.13674e+10
118000 1.14549e+10
119000 1.15894e+10
120000 1.15946e+10
121000 1.16906e+10
122000 1.18279e+10
123000 1.18531e+10
124000 1.19489e+10
125000 1.20589e+10
126000 1.20687e+10
127000 1.21758e+10
128000 1.2284e+10
129000 1.23055e+10
130000 1.23821e+10
131000 1.24877e+10
132000 1.25476e+10
133000 1.26123e+10
134000 1.27092e+10
135000 1.27579e+10
136000 1.28483e+10
137000 1.28667e+10
138000 1.29705e+10
139000 1.3047e+10
140000 1.30849e+10
141000 1.31692e+10
142000 1.32116e+10
143000 1.33005e+10
144000 1.33885e+10
145000 1.3426e+10
146000 1.34342e+10
147000 1.3554e+10
148000 1.36145e+10
149000 1.36796e+10
150000 1.37291e+10
151000 1.37887e+10
152000 1.38576e+10
153000 1.39107e+10
154000 1.39513e+10
155000 1.40141e+10
156000 1.40816e+10
157000 1.41567e+10
158000 1.41745e+10
159000 1.42468e+10
160000 1.42924e+10
161000 1.432e+10
162000 1.43974e+10
163000 1.44424e+10
164000 1.45127e+10
165000 1.45384e+10
166000 1.45948e+10
167000 1.46262e+10
168000 1.46812e+10
169000 1.47145e+10
170000 1.47703e+10
171000 1.48394e+10
172000 1.48652e+10
