# Time-averaged data for fix ave_time_1
# TimeStep v_strain
6000 0.0464145
7000 0.138324
8000 0.230234
9000 0.322144
10000 0.414054
11000 0.505964
12000 0.597874
13000 0.689784
14000 0.781694
15000 0.873604
16000 0.965514
17000 1.05742
18000 1.14933
19000 1.24124
20000 1.33315
21000 1.42506
22000 1.51697
23000 1.60888
24000 1.70079
25000 1.7927
26000 1.88461
27000 1.97652
28000 2.06843
29000 2.16034
30000 2.25225
31000 2.34416
32000 2.43607
33000 2.52798
34000 2.61989
35000 2.7118
36000 2.80371
37000 2.89562
38000 2.98753
39000 3.07944
40000 3.17135
41000 3.26326
42000 3.35517
43000 3.44708
44000 3.53899
45000 3.6309
46000 3.72281
47000 3.81472
48000 3.90663
49000 3.99854
50000 4.09045
51000 4.18236
52000 4.27427
53000 4.36618
54000 4.45809
55000 4.55
56000 4.64191
57000 4.73382
58000 4.82573
59000 4.91764
60000 5.00955
61000 5.10146
62000 5.19337
63000 5.28528
64000 5.37719
65000 5.4691
66000 5.56101
67000 5.65292
68000 5.74483
69000 5.83674
70000 5.92865
71000 6.02056
72000 6.11247
73000 6.20438
74000 6.29629
75000 6.3882
76000 6.48011
77000 6.57202
78000 6.66393
79000 6.75584
80000 6.84775
81000 6.93966
82000 7.03157
83000 7.12348
84000 7.21539
85000 7.3073
86000 7.39921
87000 7.49112
88000 7.58303
89000 7.67494
90000 7.76685
91000 7.85876
92000 7.95067
93000 8.04258
94000 8.13449
95000 8.2264
96000 8.31831
97000 8.41022
98000 8.50213
99000 8.59404
100000 8.68595
101000 8.77786
102000 8.86977
103000 8.96168
104000 9.05359
105000 9.1455
106000 9.23741
107000 9.32932
108000 9.42123
109000 9.51314
110000 9.60505
111000 9.69696
112000 9.78887
113000 9.88078
114000 9.97269
115000 10.0646
116000 10.1565
117000 10.2484
118000 10.3403
119000 10.4322
120000 10.5241
121000 10.6161
122000 10.708
123000 10.7999
124000 10.8918
125000 10.9837
126000 11.0756
127000 11.1675
128000 11.2594
129000 11.3513
130000 11.4432
131000 11.5352
132000 11.6271
133000 11.719
134000 11.8109
135000 11.9028
136000 11.9947
137000 12.0866
138000 12.1785
139000 12.2704
140000 12.3623
141000 12.4543
142000 12.5462
143000 12.6381
144000 12.73
145000 12.8219
146000 12.9138
147000 13.0057
148000 13.0976
149000 13.1895
150000 13.2814
151000 13.3734
152000 13.4653
153000 13.5572
154000 13.6491
155000 13.741
156000 13.8329
157000 13.9248
158000 14.0167
159000 14.1086
160000 14.2005
161000 14.2925
162000 14.3844
163000 14.4763
164000 14.5682
165000 14.6601
166000 14.752
167000 14.8439
168000 14.9358
169000 15.0277
170000 15.1196
171000 15.2116
172000 15.3035
173000 15.3954
174000 15.4873
175000 15.5792
176000 15.6711
177000 15.763
178000 15.8549
179000 15.9468
180000 16.0387
181000 16.1307
182000 16.2226
183000 16.3145
184000 16.4064
185000 16.4983
186000 16.5902
187000 16.6821
188000 16.774
189000 16.8659
190000 16.9578
191000 17.0498
192000 17.1417
193000 17.2336
194000 17.3255
195000 17.4174
