# Time-averaged data for fix ave_time_1
# TimeStep v_strain
6000 0.0911705
7000 0.271706
8000 0.452242
9000 0.632778
10000 0.813313
11000 0.993849
12000 1.17438
13000 1.35492
14000 1.53546
15000 1.71599
16000 1.89653
17000 2.07706
18000 2.2576
19000 2.43814
20000 2.61867
21000 2.79921
22000 2.97974
23000 3.16028
24000 3.34081
25000 3.52135
26000 3.70189
27000 3.88242
28000 4.06296
29000 4.24349
30000 4.42403
31000 4.60456
32000 4.7851
33000 4.96564
34000 5.14617
35000 5.32671
36000 5.50724
37000 5.68778
38000 5.86831
39000 6.04885
40000 6.22939
41000 6.40992
42000 6.59046
43000 6.77099
44000 6.95153
45000 7.13206
46000 7.3126
47000 7.49314
48000 7.67367
49000 7.85421
50000 8.03474
51000 8.21528
52000 8.39581
53000 8.57635
54000 8.75689
55000 8.93742
56000 9.11796
57000 9.29849
58000 9.47903
59000 9.65956
60000 9.8401
61000 10.0206
62000 10.2012
63000 10.3817
64000 10.5622
65000 10.7428
66000 10.9233
67000 11.1039
68000 11.2844
69000 11.4649
70000 11.6455
71000 11.826
72000 12.0065
73000 12.1871
74000 12.3676
75000 12.5481
76000 12.7287
77000 12.9092
78000 13.0897
79000 13.2703
80000 13.4508
81000 13.6314
82000 13.8119
83000 13.9924
84000 14.173
85000 14.3535
86000 14.534
87000 14.7146
88000 14.8951
89000 15.0756
90000 15.2562
91000 15.4367
92000 15.6172
93000 15.7978
94000 15.9783
95000 16.1589
96000 16.3394
97000 16.5199
98000 16.7005
99000 16.881
100000 17.0615
101000 17.2421
102000 17.4226
103000 17.6031
104000 17.7837
105000 17.9642
106000 18.1447
107000 18.3253
108000 18.5058
109000 18.6864
110000 18.8669
111000 19.0474
112000 19.228
113000 19.4085
114000 19.589
115000 19.7696
116000 19.9501
117000 20.1306
118000 20.3112
119000 20.4917
120000 20.6722
121000 20.8528
122000 21.0333
123000 21.2139
124000 21.3944
125000 21.5749
126000 21.7555
127000 21.936
128000 22.1165
129000 22.2971
130000 22.4776
131000 22.6581
132000 22.8387
133000 23.0192
134000 23.1997
135000 23.3803
136000 23.5608
137000 23.7414
138000 23.9219
139000 24.1024
140000 24.283
141000 24.4635
142000 24.644
143000 24.8246
144000 25.0051
145000 25.1856
146000 25.3662
147000 25.5467
148000 25.7272
149000 25.9078
150000 26.0883
151000 26.2689
152000 26.4494
153000 26.6299
154000 26.8105
155000 26.991
156000 27.1715
157000 27.3521
158000 27.5326
159000 27.7131
160000 27.8937
161000 28.0742
162000 28.2547
163000 28.4353
164000 28.6158
165000 28.7964
166000 28.9769
167000 29.1574
168000 29.338
169000 29.5185
170000 29.699
171000 29.8796
172000 30.0601
173000 30.2406
174000 30.4212
175000 30.6017
176000 30.7822
177000 30.9628
178000 31.1433
179000 31.3239
180000 31.5044
181000 31.6849
182000 31.8655
183000 32.046
184000 32.2265
185000 32.4071
186000 32.5876
187000 32.7681
188000 32.9487
189000 33.1292
190000 33.3097
191000 33.4903
192000 33.6708
193000 33.8514
194000 34.0319
195000 34.2124
196000 34.393
197000 34.5735
198000 34.754
199000 34.9346
200000 35.1151
201000 35.2956
202000 35.4762
203000 35.6567
204000 35.8372
205000 36.0178
