# Time-averaged data for fix PEG_ave_temp
# TimeStep v_PEG_temp
100 83.9522
200 186.636
300 239.604
400 239.9
500 236.663
600 315.527
700 305.07
800 289.949
900 300.508
1000 297.08
1100 294.36
1200 286.077
1300 306.09
1400 300.018
1500 309.875
1600 295.539
1700 290.678
1800 292.412
1900 299.08
2000 294.849
2100 292.99
2200 289.968
2300 299.364
2400 305.04
2500 312.493
2600 301.012
2700 304.025
2800 305.228
2900 302.399
3000 296.409
3100 306.669
3200 294.002
3300 294.633
3400 298.919
3500 295.307
3600 296.239
3700 295.437
3800 307.073
3900 308.806
4000 294.233
4100 309.796
4200 289.073
4300 310.278
4400 310.778
4500 298.323
4600 301.941
4700 293.788
4800 289.641
4900 297.018
5000 306.273
5100 291.678
5200 307.854
5300 303.862
5400 306.623
5500 305.629
5600 311.038
5700 298.176
5800 293.149
5900 302.658
6000 309.156
6100 294.357
6200 294.622
6300 286.341
6400 297.235
6500 302.35
6600 300.949
6700 296.347
6800 293.467
6900 295.339
7000 299.144
7100 294.311
7200 309.816
7300 303.475
7400 295.453
7500 306.554
7600 287.638
7700 280.753
7800 293.913
7900 308.795
8000 301.77
8100 294.997
8200 303.197
8300 295.934
8400 302.353
8500 289.278
8600 305.786
8700 302.69
8800 311.102
8900 306.305
9000 301.4
9100 296.666
9200 285.547
9300 302.414
9400 298.923
9500 298.278
9600 304.027
9700 296.824
9800 309.163
9900 297.77
10000 296.879
