# Time-averaged data for fix ave_PEG_H2O_RDF
# TimeStep Number-of-rows
# Row c_PEG_H2O_RDF[1] c_PEG_H2O_RDF[2] c_PEG_H2O_RDF[3] c_PEG_H2O_RDF[4] c_PEG_H2O_RDF[5]
100000 200
1 0.025 0 0 0 0
2 0.075 0 0 0 0
3 0.125 0 0 0 0
4 0.175 0 0 0 0
5 0.225 0 0 0 0
6 0.275 0 0 0 0
7 0.325 0 0 0 0
8 0.375 0 0 0 0
9 0.425 0 0 0 0
10 0.475 0 0 0 0
11 0.525 0 0 0 0
12 0.575 0 0 0 0
13 0.625 0 0 0 0
14 0.675 0 0 0 0
15 0.725 0 0 0 0
16 0.775 0 0 0 0
17 0.825 0 0 0 0
18 0.875 0 0 0 0
19 0.925 0 0 0 0
20 0.975 0 0 0 0
21 1.025 0 0 0 0
22 1.075 0 0 0 0
23 1.125 0 0 0 0
24 1.175 0 0 0 0
25 1.225 0 0 0 0
26 1.275 0 0 0 0
27 1.325 0 0 0 0
28 1.375 0 0 0 0
29 1.425 0 0 0 0
30 1.475 0 0 0 0
31 1.525 0 0 0 0
32 1.575 0 0 0 0
33 1.625 0 0 0 0
34 1.675 0 0 0 0
35 1.725 0 0 0 0
36 1.775 0 0 0 0
37 1.825 0 0 0 0
38 1.875 0 0 0 0
39 1.925 0 0 0 0
40 1.975 0 0 0 0
41 2.025 0 0 0 0
42 2.075 0 0 0 0
43 2.125 0 0 0 0
44 2.175 0 0 0 0
45 2.225 0 0 0 0
46 2.275 0 0 0 0
47 2.325 0 0 0 0
48 2.375 0 0 0 0
49 2.425 0 0 0 0
50 2.475 0 0 0 0
51 2.525 0 0 0 0
52 2.575 0.000576857 5.76923e-05 0 0
53 2.625 0.00740121 0.000826923 0 0
54 2.675 0.0238759 0.00340385 0 0
55 2.725 0.0539137 0.00944231 0 0
56 2.775 0.100831 0.0211538 0 0
57 2.825 0.156404 0.0399808 0 0
58 2.875 0.215334 0.0668269 0.000231377 2.88462e-05
59 2.925 0.279119 0.102846 0.000670602 0.000115385
60 2.975 0.329023 0.146769 0.00151259 0.000317308
61 3.025 0.353209 0.195519 0.00647898 0.00121154
62 3.075 0.387527 0.250788 0.0144952 0.00327885
63 3.125 0.412957 0.311615 0.0323785 0.00804808
64 3.175 0.436479 0.377981 0.0596981 0.017125
65 3.225 0.467672 0.451346 0.0936569 0.0318173
66 3.275 0.440663 0.522635 0.150731 0.0562019
67 3.325 0.453342 0.598231 0.227882 0.0942019
68 3.375 0.472246 0.679365 0.307705 0.147067
69 3.425 0.477797 0.763904 0.383672 0.214952
70 3.475 0.48558 0.852346 0.475814 0.301615
71 3.525 0.479906 0.942288 0.568613 0.408183
72 3.575 0.486628 1.0361 0.672231 0.537769
73 3.625 0.496874 1.13458 0.767142 0.689817
74 3.675 0.514977 1.23948 0.836755 0.860269
75 3.725 0.527433 1.34987 0.896177 1.04783
76 3.775 0.533059 1.46444 0.954951 1.25309
77 3.825 0.555553 1.58704 1.00466 1.47479
78 3.875 0.578415 1.71804 1.03592 1.7094
79 3.925 0.598367 1.85708 1.05207 1.95387
80 3.975 0.621415 2.00517 1.06406 2.20745
81 4.025 0.664704 2.1676 1.04735 2.46337
82 4.075 0.67575 2.33685 1.04833 2.72594
83 4.125 0.703377 2.51737 1.03615 2.99187
84 4.175 0.744271 2.71304 1.04319 3.26612
85 4.225 0.775043 2.92171 1.02718 3.54268
86 4.275 0.803204 3.14312 1.02579 3.82544
87 4.325 0.840837 3.38035 1.0168 4.11232
88 4.375 0.867757 3.63087 0.996552 4.40002
89 4.425 0.913243 3.90058 0.991772 4.69292
90 4.475 0.946176 4.18637 0.989726 4.99187
91 4.525 0.983728 4.49017 1.00026 5.30078
92 4.575 1.03361 4.81648 0.972791 5.60788
93 4.625 1.07362 5.16287 0.989184 5.92703
94 4.675 1.06979 5.51552 0.98319 6.25113
95 4.725 1.09656 5.88477 0.972172 6.5785
96 4.775 1.11834 6.26937 0.961985 6.90933
97 4.825 1.12595 6.66473 0.94875 7.24247
98 4.875 1.1277 7.06896 0.950285 7.58311
99 4.925 1.12469 7.48042 0.939997 7.927
100 4.975 1.13727 7.90498 0.931475 8.27473
101 5.025 1.11874 8.33106 0.924922 8.62699
102 5.075 1.098 8.7576 0.929658 8.98813
103 5.125 1.09677 9.1921 0.928548 9.35599
104 5.175 1.08344 9.62973 0.919238 9.7273
105 5.225 1.07056 10.0706 0.917374 10.105
106 5.275 1.0636 10.5169 0.912804 10.4881
107 5.325 1.03576 10.9599 0.909165 10.877
108 5.375 1.05021 11.4176 0.903141 11.2705
109 5.425 1.03242 11.8758 0.899524 11.6698
110 5.475 1.00225 12.329 0.897525 12.0756
111 5.525 0.98473 12.7824 0.891566 12.4861
112 5.575 0.971084 13.2376 0.897777 12.907
113 5.625 0.978116 13.7044 0.891418 13.3324
114 5.675 0.957274 14.1694 0.888982 13.7642
115 5.725 0.938254 14.6332 0.886865 14.2026
116 5.775 0.927621 15.0998 0.880349 14.6455
117 5.825 0.918115 15.5697 0.87306 15.0923
118 5.875 0.917219 16.0472 0.890659 15.556
119 5.925 0.914116 16.5312 0.882936 16.0235
120 5.975 0.89506 17.0132 0.885703 16.5004
121 6.025 0.8842 17.4973 0.88708 16.9861
122 6.075 0.874852 17.9843 0.900746 17.4875
123 6.125 0.869872 18.4765 0.901224 17.9974
124 6.175 0.876239 18.9804 0.905581 18.5182
125 6.225 0.864687 19.4858 0.920474 19.0562
126 6.275 0.866505 20.0004 0.928902 19.6079
127 6.325 0.861337 20.5202 0.929078 20.1685
128 6.375 0.864663 21.0502 0.930938 20.7392
129 6.425 0.858794 21.5849 0.936767 21.3224
130 6.475 0.8669 22.1331 0.939036 21.9162
131 6.525 0.86274 22.6871 0.955769 22.53
132 6.575 0.859814 23.2477 0.951994 23.1507
133 6.625 0.867481 23.822 0.964042 23.7889
134 6.675 0.87651 24.411 0.970013 24.4408
135 6.725 0.888278 25.017 0.969979 25.1024
136 6.775 0.883271 25.6285 0.974937 25.7774
137 6.825 0.892931 26.2558 0.972296 26.4605
138 6.875 0.890996 26.891 0.977102 27.1571
139 6.925 0.885009 27.5311 0.979726 27.8657
140 6.975 0.903842 28.1944 0.977799 28.5832
141 7.025 0.91572 28.876 0.980775 29.3133
142 7.075 0.933644 29.5809 0.977048 30.0509
143 7.125 0.945853 30.3051 0.981416 30.8024
144 7.175 0.954313 31.0461 0.983748 31.5662
145 7.225 0.95942 31.8015 0.980316 32.3381
146 7.275 0.96514 32.5719 0.98116 33.1213
147 7.325 0.983424 33.3678 0.984885 33.9184
148 7.375 0.988982 34.1791 0.980367 34.7226
149 7.425 0.998371 35.0093 0.975302 35.5336
150 7.475 1.00649 35.8575 0.97235 36.3531
151 7.525 1.01202 36.7219 0.979826 37.1899
152 7.575 1.03066 37.6139 0.973244 38.0322
153 7.625 1.02554 38.5132 0.978198 38.89
154 7.675 1.0256 39.4244 0.974379 39.7557
155 7.725 1.03895 40.3595 0.973643 40.6321
156 7.775 1.03744 41.3054 0.968269 41.5149
157 7.825 1.02908 42.2558 0.96087 42.4023
158 7.875 1.02695 43.2164 0.963551 43.3036
159 7.925 1.01941 44.1821 0.970635 44.2231
160 7.975 1.03096 45.1711 0.977758 45.161
161 8.025 1.0275 46.1691 0.969779 46.103
162 8.075 1.03144 47.1835 0.975914 47.0628
163 8.125 1.03502 48.2141 0.96816 48.0268
164 8.175 1.03351 49.2559 0.976728 49.0113
165 8.225 1.02171 50.2984 0.969761 50.0008
166 8.275 1.01352 51.3452 0.97261 51.0054
167 8.325 1.00035 52.3908 0.973822 52.0233
168 8.375 1.00371 53.4527 0.982943 53.0632
169 8.425 0.991222 54.5139 0.990387 54.1235
170 8.475 1.00283 55.6003 0.991082 55.1972
171 8.525 0.998227 56.6945 0.991762 56.2843
172 8.575 1.00335 57.8073 0.992585 57.3851
173 8.625 0.986886 58.9146 0.991771 58.4979
174 8.675 0.98276 60.0301 0.992985 59.625
175 8.725 0.976319 61.1511 0.993159 60.7654
176 8.775 0.985442 62.2956 0.98988 61.915
177 8.825 0.994853 63.4642 0.995107 63.0839
178 8.875 0.989406 64.6396 0.989341 64.2593
179 8.925 0.984081 65.8219 0.997159 65.4573
180 8.975 0.974872 67.0063 0.999652 66.6718
181 9.025 0.969783 68.1977 1.00088 67.9014
182 9.075 0.978865 69.4136 1.00396 69.1484
183 9.125 0.963788 70.624 1.00527 70.4109
184 9.175 0.979045 71.8671 1.00831 71.6912
185 9.225 0.971562 73.1141 1.0073 72.9841
186 9.275 0.974603 74.3787 1.00545 74.2887
187 9.325 0.967816 75.648 1.0087 75.6116
188 9.375 0.974304 76.9396 1.00642 76.9458
189 9.425 0.974429 78.2452 1.00791 78.2962
190 9.475 0.970166 79.5588 1.00331 79.6547
191 9.525 0.983771 80.905 1.0043 81.029
192 9.575 0.982702 82.2639 1.00486 82.4185
193 9.625 0.983626 83.6383 1.00363 83.8209
194 9.675 0.983865 85.0274 0.998494 85.2306
195 9.725 0.981768 86.4278 0.995971 86.6513
196 9.775 0.990045 87.8547 0.99683 88.0879
197 9.825 0.993572 89.3013 0.998366 89.5415
198 9.875 0.998703 90.7702 0.998683 91.0104
199 9.925 0.990995 92.2425 0.996192 92.4905
200 9.975 0.97769 93.7098 1.00138 93.9933
