# Time-averaged data for fix ave_PEG_H2O_RDF
# TimeStep Number-of-rows
# Row c_PEG_H2O_RDF[1] c_PEG_H2O_RDF[2] c_PEG_H2O_RDF[3] c_PEG_H2O_RDF[4] c_PEG_H2O_RDF[5]
50000 200
1 0.025 0 0 0 0
2 0.075 0 0 0 0
3 0.125 0 0 0 0
4 0.175 0 0 0 0
5 0.225 0 0 0 0
6 0.275 0 0 0 0
7 0.325 0 0 0 0
8 0.375 0 0 0 0
9 0.425 0 0 0 0
10 0.475 0 0 0 0
11 0.525 0 0 0 0
12 0.575 0 0 0 0
13 0.625 0 0 0 0
14 0.675 0 0 0 0
15 0.725 0 0 0 0
16 0.775 0 0 0 0
17 0.825 0 0 0 0
18 0.875 0 0 0 0
19 0.925 0 0 0 0
20 0.975 0 0 0 0
21 1.025 0 0 0 0
22 1.075 0 0 0 0
23 1.125 0 0 0 0
24 1.175 0 0 0 0
25 1.225 0 0 0 0
26 1.275 0 0 0 0
27 1.325 0 0 0 0
28 1.375 0 0 0 0
29 1.425 0 0 0 0
30 1.475 0 0 0 0
31 1.525 0 0 0 0
32 1.575 0 0 0 0
33 1.625 0 0 0 0
34 1.675 0 0 0 0
35 1.725 0 0 0 0
36 1.775 0 0 0 0
37 1.825 0 0 0 0
38 1.875 0 0 0 0
39 1.925 0 0 0 0
40 1.975 0 0 0 0
41 2.025 0 0 0 0
42 2.075 0 0 0 0
43 2.125 0 0 0 0
44 2.175 0 0 0 0
45 2.225 0 0 0 0
46 2.275 0 0 0 0
47 2.325 0 0 0 0
48 2.375 0 0 0 0
49 2.425 0 0 0 0
50 2.475 0 0 0 0
51 2.525 0.000199976 1.92308e-05 0 0
52 2.575 0.00192286 0.000211538 0 0
53 2.625 0.00925152 0.00117308 0 0
54 2.675 0.0297558 0.00438462 0 0
55 2.725 0.0683365 0.0120385 0 0
56 2.775 0.117388 0.0256731 0 0
57 2.825 0.160878 0.0450385 0 0
58 2.875 0.226132 0.0732308 0.000308502 3.84615e-05
59 2.925 0.290147 0.110673 0.00104316 0.000173077
60 2.975 0.315914 0.152846 0.00172867 0.000403846
61 3.025 0.345546 0.200538 0.00452832 0.00102885
62 3.075 0.360559 0.251962 0.0135513 0.00296154
63 3.125 0.364781 0.305692 0.028527 0.00716346
64 3.175 0.364512 0.361115 0.0559037 0.0156635
65 3.225 0.373524 0.419712 0.094086 0.0304231
66 3.275 0.374926 0.480365 0.138725 0.0528654
67 3.325 0.353471 0.539308 0.204067 0.0868942
68 3.375 0.350239 0.599481 0.266009 0.132596
69 3.425 0.369869 0.664923 0.339219 0.192615
70 3.475 0.365003 0.731404 0.40956 0.267212
71 3.525 0.358827 0.798654 0.472878 0.355837
72 3.575 0.352152 0.866538 0.538204 0.459587
73 3.625 0.380054 0.941865 0.592834 0.577087
74 3.675 0.387437 1.02079 0.664939 0.712538
75 3.725 0.374257 1.09912 0.694255 0.857837
76 3.775 0.377919 1.18035 0.709403 1.01032
77 3.825 0.393375 1.26715 0.746141 1.17497
78 3.875 0.400696 1.3579 0.776641 1.35087
79 3.925 0.419685 1.45542 0.779864 1.53208
80 3.975 0.435176 1.55913 0.801602 1.72312
81 4.025 0.457171 1.67085 0.80609 1.92009
82 4.075 0.482722 1.79175 0.78762 2.11736
83 4.125 0.485178 1.91627 0.78936 2.31994
84 4.175 0.510347 2.05044 0.78004 2.52502
85 4.225 0.556408 2.20025 0.766651 2.73143
86 4.275 0.56684 2.3565 0.767798 2.94308
87 4.325 0.609907 2.52858 0.757715 3.15686
88 4.375 0.634348 2.71171 0.755316 3.37491
89 4.425 0.659879 2.9066 0.752441 3.59713
90 4.475 0.675777 3.11071 0.746321 3.82256
91 4.525 0.716531 3.332 0.749285 4.05396
92 4.575 0.738966 3.56529 0.740489 4.28773
93 4.625 0.77976 3.81687 0.733179 4.52428
94 4.675 0.798639 4.08013 0.734789 4.7665
95 4.725 0.796618 4.34838 0.74402 5.01704
96 4.775 0.815475 4.62883 0.732351 5.26889
97 4.825 0.800962 4.91008 0.724782 5.52339
98 4.875 0.813212 5.20158 0.717716 5.78066
99 4.925 0.817967 5.50083 0.720301 6.04418
100 4.975 0.815414 5.80523 0.714524 6.31092
101 5.025 0.827646 6.12044 0.711611 6.58194
102 5.075 0.818299 6.43833 0.71241 6.85869
103 5.125 0.824545 6.76498 0.719912 7.14389
104 5.175 0.819639 7.09606 0.705901 7.42903
105 5.225 0.825184 7.43585 0.718049 7.7247
106 5.275 0.796556 7.77015 0.717033 8.02563
107 5.325 0.79691 8.11098 0.715861 8.3318
108 5.375 0.798747 8.45904 0.710703 8.64149
109 5.425 0.80116 8.81467 0.710032 8.95667
110 5.475 0.788296 9.17108 0.713839 9.27941
111 5.525 0.776891 9.52877 0.706386 9.60464
112 5.575 0.769008 9.88927 0.709156 9.93709
113 5.625 0.771395 10.2574 0.704281 10.2732
114 5.675 0.763207 10.6281 0.710948 10.6185
115 5.725 0.767789 11.0077 0.712219 10.9706
116 5.775 0.771832 11.3959 0.724579 11.3351
117 5.825 0.764914 11.7874 0.724124 11.7057
118 5.875 0.769829 12.1882 0.728216 12.0848
119 5.925 0.769203 12.5955 0.730232 12.4715
120 5.975 0.76124 13.0054 0.735883 12.8677
121 6.025 0.759371 13.4211 0.732764 13.2689
122 6.075 0.753141 13.8404 0.739097 13.6803
123 6.125 0.745143 14.262 0.742458 14.1004
124 6.175 0.746801 14.6915 0.75073 14.5322
125 6.225 0.765551 15.1389 0.765337 14.9795
126 6.275 0.761138 15.591 0.771775 15.4379
127 6.325 0.760339 16.0498 0.771541 15.9034
128 6.375 0.768192 16.5207 0.773839 16.3778
129 6.425 0.766135 16.9977 0.785177 16.8666
130 6.475 0.764932 17.4814 0.787968 17.3649
131 6.525 0.762807 17.9712 0.793892 17.8747
132 6.575 0.762575 18.4685 0.791965 18.3911
133 6.625 0.769118 18.9776 0.800826 18.9213
134 6.675 0.762933 19.4903 0.815014 19.469
135 6.725 0.769138 20.015 0.822083 20.0297
136 6.775 0.769772 20.5479 0.822577 20.5992
137 6.825 0.772713 21.0908 0.828757 21.1815
138 6.875 0.782447 21.6486 0.832231 21.7748
139 6.925 0.801977 22.2287 0.843161 22.3846
140 6.975 0.812168 22.8246 0.849134 23.0077
141 7.025 0.813979 23.4305 0.849555 23.6401
142 7.075 0.815226 24.046 0.851841 24.2832
143 7.125 0.811987 24.6677 0.853992 24.9371
144 7.175 0.824064 25.3076 0.85693 25.6025
145 7.225 0.833337 25.9637 0.85968 26.2794
146 7.275 0.845555 26.6387 0.852746 26.9601
147 7.325 0.857932 27.333 0.864776 27.6599
148 7.375 0.859537 28.0381 0.868186 28.3722
149 7.425 0.87478 28.7655 0.867241 29.0933
150 7.475 0.875941 29.5037 0.86306 29.8206
151 7.525 0.884289 30.259 0.866771 30.5609
152 7.575 0.878231 31.0191 0.876142 31.3192
153 7.625 0.872321 31.784 0.881071 32.0918
154 7.675 0.873308 32.5599 0.890072 32.8826
155 7.725 0.875928 33.3483 0.891728 33.6853
156 7.775 0.88714 34.1572 0.902167 34.5078
157 7.825 0.889832 34.979 0.904377 35.343
158 7.875 0.89886 35.8198 0.905727 36.1902
159 7.925 0.890965 36.6638 0.90078 37.0435
160 7.975 0.898271 37.5255 0.895565 37.9026
161 8.025 0.899368 38.3991 0.904693 38.7814
162 8.075 0.908835 39.2929 0.906224 39.6727
163 8.125 0.909426 40.1984 0.907717 40.5765
164 8.175 0.932181 41.138 0.912072 41.4958
165 8.225 0.935092 42.0922 0.917715 42.4323
166 8.275 0.925763 43.0483 0.921396 43.3839
167 8.325 0.938518 44.0294 0.913517 44.3388
168 8.375 0.948686 45.033 0.928691 45.3213
169 8.425 0.947842 46.0477 0.926727 46.3134
170 8.475 0.944111 47.0705 0.926804 47.3175
171 8.525 0.93856 48.0993 0.924762 48.3311
172 8.575 0.954662 49.1581 0.931843 49.3646
173 8.625 0.947585 50.2213 0.939701 50.419
174 8.675 0.944724 51.2937 0.936744 51.4822
175 8.725 0.950643 52.3852 0.939865 52.5614
176 8.775 0.956531 53.4961 0.938656 53.6515
177 8.825 0.949898 54.6119 0.944855 54.7614
178 8.875 0.949844 55.7403 0.933842 55.8708
179 8.925 0.957382 56.8905 0.928443 56.9863
180 8.975 0.953361 58.0488 0.948264 58.1384
181 9.025 0.950607 59.2166 0.945089 59.2994
182 9.075 0.941214 60.3858 0.94438 60.4725
183 9.125 0.940942 61.5675 0.94124 61.6546
184 9.175 0.942695 62.7644 0.946383 62.8562
185 9.225 0.943605 63.9756 0.946489 64.071
186 9.275 0.942115 65.198 0.946354 65.299
187 9.325 0.949854 66.4437 0.947024 66.541
188 9.375 0.94619 67.6981 0.945189 67.794
189 9.425 0.951478 68.9729 0.951321 69.0686
190 9.475 0.946079 70.2539 0.947456 70.3515
191 9.525 0.94816 71.5514 0.953816 71.6567
192 9.575 0.956877 72.8746 0.947371 72.9667
193 9.625 0.955659 74.2099 0.94469 74.2867
194 9.675 0.957058 75.5611 0.949131 75.6268
195 9.725 0.957259 76.9266 0.959511 76.9955
196 9.775 0.961209 78.3119 0.954503 78.3711
197 9.825 0.967076 79.7199 0.960108 79.769
198 9.875 0.959282 81.1308 0.960204 81.1812
199 9.925 0.963063 82.5617 0.957303 82.6035
200 9.975 0.963479 84.0076 0.955092 84.0369
