# Time-averaged data for fix H2O_ave_density
# TimeStep v_H2O_density
100 0.0130779
200 0.013474
300 0.013772
400 0.0140458
500 0.0142932
600 0.0144885
700 0.0146334
800 0.0147427
900 0.0148295
1000 0.0149229
1100 0.0150199
1200 0.0151475
1300 0.0152992
1400 0.0154263
1500 0.0155651
1600 0.0157207
1700 0.0158592
1800 0.0159842
1900 0.0161455
2000 0.0163071
2100 0.0164729
2200 0.0166471
2300 0.0168304
2400 0.017014
2500 0.0171681
2600 0.0173252
2700 0.0174605
2800 0.0175753
2900 0.0176736
3000 0.0178084
3100 0.0179651
3200 0.0181088
3300 0.0182746
3400 0.0184333
3500 0.0186021
3600 0.0187719
3700 0.0189517
3800 0.0191295
3900 0.019303
4000 0.0194544
4100 0.0196186
4200 0.0197749
4300 0.0199364
4400 0.0200926
4500 0.0202415
4600 0.0204258
4700 0.0206381
4800 0.0208773
4900 0.0210863
5000 0.0212856
5100 0.0214764
5200 0.0217033
5300 0.0219364
5400 0.0221732
5500 0.0224168
5600 0.0226632
5700 0.022867
5800 0.0230579
5900 0.0232975
6000 0.0235391
6100 0.0236998
6200 0.0237832
6300 0.0238826
6400 0.0240594
6500 0.0242982
6600 0.024531
6700 0.0247786
6800 0.0249982
6900 0.025213
7000 0.0254339
7100 0.0256574
7200 0.0258246
7300 0.0259483
7400 0.0261038
7500 0.0262889
7600 0.0263894
7700 0.0264763
7800 0.0265809
7900 0.0266852
8000 0.0268108
8100 0.0269502
8200 0.0270681
8300 0.0272
8400 0.0273249
8500 0.0274064
8600 0.0274786
8700 0.0275549
8800 0.0276995
8900 0.0279415
9000 0.0281388
9100 0.0282478
9200 0.0283842
9300 0.0285188
9400 0.028621
9500 0.0287119
9600 0.0288162
9700 0.0289141
9800 0.0289865
9900 0.029121
10000 0.0293158
10100 0.0294775
10200 0.0296119
10300 0.0296985
10400 0.0297073
10500 0.0296748
10600 0.0295864
10700 0.0294935
10800 0.0295154
10900 0.029656
11000 0.0298632
11100 0.030058
11200 0.0301502
11300 0.030196
11400 0.0302481
11500 0.0302895
11600 0.0303156
11700 0.030341
11800 0.0303358
11900 0.0303422
12000 0.030339
12100 0.0304071
12200 0.0305143
12300 0.0305803
12400 0.0306225
12500 0.0306786
12600 0.0306973
12700 0.0306911
12800 0.0307178
12900 0.0307228
13000 0.0307496
13100 0.0307888
13200 0.0308407
13300 0.0308631
13400 0.0307837
13500 0.0307447
13600 0.0308377
13700 0.0309538
13800 0.0308792
13900 0.030707
14000 0.0305888
14100 0.0305011
14200 0.0303994
14300 0.0302651
14400 0.0301787
14500 0.0301224
14600 0.0300447
14700 0.0300043
14800 0.0299991
14900 0.0300059
15000 0.0299716
15100 0.0298857
15200 0.0298399
15300 0.0298322
15400 0.0298908
15500 0.0300244
15600 0.0301812
15700 0.0303141
15800 0.0304549
15900 0.0306448
16000 0.0307509
16100 0.0308234
16200 0.0308915
16300 0.0308812
16400 0.0307399
16500 0.0305323
16600 0.0304047
16700 0.0303722
16800 0.0304144
16900 0.0305072
17000 0.0305745
17100 0.0305645
17200 0.0305085
17300 0.0305357
17400 0.0306359
17500 0.0307851
17600 0.0309043
17700 0.0309269
17800 0.0309002
17900 0.0308876
18000 0.0308485
18100 0.0307359
18200 0.0306631
18300 0.030643
18400 0.0306737
18500 0.0307899
18600 0.0308968
18700 0.0309139
18800 0.0308467
18900 0.0307982
19000 0.0307692
19100 0.0306855
19200 0.0305449
19300 0.030425
19400 0.0303327
19500 0.0302988
19600 0.0303444
19700 0.0303804
19800 0.0304265
19900 0.0304955
20000 0.0305638
