# Time-averaged data for fix H2O_ave_temp
# TimeStep v_H2O_temp
100 15.4113
200 41.016
300 55.5832
400 68.9647
500 83.2645
600 100.684
700 121.46
800 147.368
900 171.341
1000 195.095
1100 221.645
1200 251.887
1300 280.951
1400 301.427
1500 308.376
1600 310.492
1700 301.889
1800 295.269
1900 296.829
2000 297.915
2100 299.674
2200 305.456
2300 303.727
2400 300.123
2500 297.397
2600 293.71
2700 299.145
2800 306.081
2900 304.918
3000 298.634
3100 293.342
3200 301.617
3300 301.381
3400 301.888
3500 300.105
3600 298.656
3700 300.727
3800 299.198
3900 301.504
4000 306.06
4100 299.594
4200 293.797
4300 296.195
4400 304.533
4500 299.168
4600 295.964
4700 307.85
4800 304.138
4900 298.788
5000 295.843
5100 293.504
5200 301.945
5300 307.749
5400 306.508
5500 294.938
5600 297.398
5700 299.219
5800 299.195
5900 301.072
6000 300.038
6100 300.335
6200 303.656
6300 300.008
6400 295.384
6500 297.363
6600 300.256
6700 305.946
6800 298.564
6900 292.59
7000 301.268
7100 305.894
7200 302.139
7300 296.445
7400 296.465
7500 298.369
7600 301.198
7700 304.163
7800 308.527
7900 297.177
8000 291.781
8100 295.732
8200 306.855
8300 304.591
8400 297.026
8500 296.422
8600 298.218
8700 302.194
8800 302.508
8900 299.524
9000 296.997
9100 298.09
9200 295.855
9300 301.244
9400 304.785
9500 305.917
9600 295.487
9700 295.788
9800 297.021
9900 299.522
10000 303.671
10100 307.689
10200 300.5
10300 292.066
10400 293.881
10500 301.599
10600 307.741
10700 304.153
10800 296.612
10900 295.692
11000 301.338
11100 302.596
11200 301.736
11300 300.398
11400 302.335
11500 296.623
11600 296.503
11700 299.453
11800 301.984
11900 302.125
12000 307.454
12100 301.028
12200 297.092
12300 293.917
12400 299.178
12500 306.721
12600 300.805
12700 297.702
12800 298.953
12900 300.478
13000 297.03
13100 298.007
13200 302.888
13300 301.909
13400 298.422
13500 293.291
13600 300.737
13700 301.123
13800 300.603
13900 297.182
14000 301.06
14100 304.688
14200 301.11
14300 295.115
14400 294.902
14500 303.174
14600 303.425
14700 300.755
14800 299.147
14900 299.759
15000 296.178
15100 296.676
15200 300.35
15300 302.082
15400 307.289
15500 302.654
15600 296.352
15700 298.266
15800 298.192
15900 303.89
16000 302.825
16100 295.964
16200 295.124
16300 299.507
16400 301.35
16500 300.728
16600 305.507
16700 304.183
16800 303.218
16900 299.371
17000 295.81
17100 299.893
17200 306.397
17300 300.794
17400 295.991
17500 294.625
17600 300.933
17700 301.141
17800 300.291
17900 298.352
18000 297.904
18100 302.556
18200 298.344
18300 297.068
18400 297.068
18500 300.445
18600 303.151
18700 300.116
18800 294.97
18900 296.298
19000 301.215
19100 303.098
19200 296.618
19300 294.532
19400 304.528
19500 303.193
19600 297.206
19700 293.28
19800 297.913
19900 301.046
20000 298.51
20100 298.134
20200 294.435
20300 298.287
20400 304.243
20500 301.869
20600 300.454
20700 293.598
20800 297.543
20900 297.756
21000 300.62
21100 302.199
21200 299.378
21300 304.272
21400 297.082
21500 293.283
21600 301.049
21700 301.254
21800 300.272
21900 296.307
22000 292.471
22100 298.102
22200 299.066
22300 303.368
22400 297.551
22500 301.939
22600 302.828
22700 301.48
22800 297.357
22900 298.646
23000 303.663
23100 303.829
23200 298.264
23300 301.175
23400 301.346
23500 303.274
23600 307.524
23700 297.266
23800 295.232
23900 299.195
24000 299.702
24100 307.906
24200 308.724
24300 300.712
24400 297.444
24500 297.272
24600 297.337
24700 298.891
24800 305.078
24900 302.368
25000 302.884
25100 303.617
25200 301.908
25300 297.378
25400 300.163
25500 306.553
25600 303.061
25700 301.759
25800 299.602
25900 298.823
26000 301.127
26100 297.388
26200 305.465
26300 302.067
26400 296.701
26500 297.482
26600 297.851
26700 290.329
26800 299.048
26900 300.064
27000 302.964
27100 298.861
27200 296.416
27300 297.666
27400 303.034
27500 301.209
27600 296.689
27700 296.277
27800 302.545
27900 302.081
28000 302.439
28100 297.012
28200 292.542
28300 298.827
28400 306.294
28500 299.769
28600 301.253
28700 298.42
28800 297.113
28900 300.759
29000 305.234
29100 303.813
29200 298.382
29300 295.873
29400 301.675
29500 300.726
29600 301.157
29700 303.04
29800 296.865
29900 294.574
30000 290.259
30100 297.583
30200 301.723
30300 300.057
30400 293.605
30500 297.787
30600 302.557
30700 302.747
30800 298.587
30900 298.372
31000 296.328
31100 289.547
31200 294.499
31300 300.433
31400 300.179
31500 302.77
31600 308.858
31700 300.801
31800 295.557
31900 297.904
32000 302.359
32100 300.087
32200 294.617
32300 295.185
32400 299.9
32500 305.417
32600 303.249
32700 295.038
32800 297.64
32900 298.451
33000 302.364
33100 304.74
33200 295.284
33300 299.472
33400 303.605
33500 304.628
33600 299.156
33700 297.139
33800 297.336
33900 298.046
34000 302.676
34100 298.473
34200 302.761
34300 304.39
34400 306.922
34500 305.58
34600 298.408
34700 299.865
34800 299.156
34900 293.086
35000 296.979
35100 298.513
35200 306.631
35300 303.668
35400 298.412
35500 297.383
35600 300.404
35700 300.552
35800 303.086
35900 305.068
36000 302.846
36100 297.434
36200 298.287
36300 302.431
36400 300.222
36500 297.367
36600 296.688
36700 299.393
36800 302.883
36900 302.757
37000 299.385
37100 299.913
37200 296.53
37300 298.738
37400 300.827
37500 301.147
37600 297.662
37700 295.57
37800 294.475
37900 301.939
38000 302.525
38100 299.139
38200 302.258
38300 297.831
38400 295.838
38500 300.935
38600 302.495
38700 300.299
38800 298.324
38900 300.295
39000 300.832
39100 297.507
39200 295.765
39300 300.383
39400 303.21
39500 300.436
39600 296.894
39700 298.483
39800 305.51
39900 302.501
40000 300.47
40100 300.337
40200 296.848
40300 291.9
40400 291.005
40500 302.066
40600 305.136
40700 300.39
40800 302.055
40900 298.846
41000 297.285
41100 295.786
41200 293.726
41300 299.906
41400 302.573
41500 301.65
41600 299.452
41700 297.602
41800 300.365
41900 299.372
42000 304.196
42100 300.496
42200 295.243
42300 296.168
42400 297.756
42500 301.408
42600 304.654
42700 301.149
42800 298.892
42900 299.157
43000 296.678
43100 300.367
43200 304.325
43300 304.353
43400 297.967
43500 297.382
43600 299.686
43700 305.968
43800 302.233
43900 298.93
44000 296.953
44100 298.089
44200 299.318
44300 296.736
44400 303.521
44500 308.06
44600 299.604
44700 298.222
44800 299.86
44900 296.326
45000 306.77
45100 306.838
45200 299.842
45300 297.656
45400 299.391
45500 301.906
45600 297.632
45700 297.314
45800 303.284
45900 298.478
46000 297.41
46100 297.826
46200 303.003
46300 305.095
46400 304.873
46500 300.346
46600 300.639
46700 298.932
46800 297.592
46900 304.933
47000 306.526
47100 298.927
47200 300.274
47300 300.516
47400 298.614
47500 295.353
47600 296.281
47700 296.379
47800 294.57
47900 300.094
48000 301.628
48100 307.107
48200 305.301
48300 304.659
48400 300.609
48500 296.234
48600 299.73
48700 302.439
48800 302.794
48900 299.898
49000 294.208
49100 306.909
49200 310.167
49300 296.331
49400 299.076
49500 296.745
49600 294.264
49700 299.803
49800 301.631
49900 301.077
50000 301.27
