# Time-averaged data for fix H2O_ave_vol
# TimeStep v_H2O_vol
100 80292.2
200 77932.5
300 76243.7
400 74757.8
500 73462.7
600 72472
700 71753.9
800 71222.1
900 70805.3
1000 70361.9
1100 69907.6
1200 69319
1300 68631.4
1400 68065.8
1500 67459.1
1600 66791.4
1700 66207.9
1800 65690.3
1900 65034.4
2000 64389.6
2100 63741.6
2200 63074.5
2300 62387.8
2400 61714.4
2500 61160.5
2600 60605.9
2700 60136
2800 59743.3
2900 59410.9
3000 58961.4
3100 58446.8
3200 57983.2
3300 57457.1
3400 56962.4
3500 56445.7
3600 55935.1
3700 55404.5
3800 54889.4
3900 54395.9
4000 53972.7
4100 53520.9
4200 53097.7
4300 52667.8
4400 52258.3
4500 51874
4600 51406
4700 50877.4
4800 50294.3
4900 49795.8
5000 49329.5
5100 48891.1
5200 48380.2
5300 47866.1
5400 47354.8
5500 46840.4
5600 46331
5700 45918
5800 45537.9
5900 45069.7
6000 44607
6100 44304.3
6200 44148.9
6300 43965.1
6400 43642.3
6500 43213.5
6600 42803.3
6700 42375.5
6800 42003.3
6900 41645.5
7000 41283.8
7100 40924.1
7200 40659
7300 40465.2
7400 40224.3
7500 39940.9
7600 39788.8
7700 39658.2
7800 39502.1
7900 39347.6
8000 39163.4
8100 38960.8
8200 38791.2
8300 38603
8400 38426.5
8500 38312.3
8600 38211.6
8700 38105.8
8800 37907
8900 37578.8
9000 37315.1
9100 37171.1
9200 36992.5
9300 36817.8
9400 36686.3
9500 36570.2
9600 36437.9
9700 36314.5
9800 36223.9
9900 36056.6
10000 35817
10100 35620.5
10200 35458.7
10300 35355.4
10400 35344.8
10500 35383.6
10600 35489.3
10700 35601
10800 35574.6
10900 35406.1
11000 35160.5
11100 34932.5
11200 34825.7
11300 34772.9
11400 34713
11500 34665.4
11600 34635.6
11700 34606.7
11800 34612.5
11900 34605.3
12000 34608.9
12100 34531.4
12200 34410.1
12300 34335.9
12400 34288.5
12500 34225.8
12600 34204.9
12700 34211.8
12800 34182.1
12900 34176.5
13000 34146.7
13100 34103.4
13200 34046
13300 34021.2
13400 34108.9
13500 34152.2
13600 34049.3
13700 33921.6
13800 34003.6
13900 34194.2
14000 34326.3
14100 34425
14200 34540.2
14300 34693.4
14400 34792.8
14500 34857.8
14600 34948
14700 34994.9
14800 35001
14900 34993.1
15000 35033.2
15100 35133.9
15200 35187.8
15300 35196.9
15400 35127.9
15500 34971.7
15600 34789.9
15700 34637.4
15800 34477.3
15900 34263.7
16000 34145.4
16100 34065
16200 33989.9
16300 34001.3
16400 34157.7
16500 34389.9
16600 34534.1
16700 34571.1
16800 34523.1
16900 34418.1
17000 34342.4
17100 34353.6
17200 34416.6
17300 34386
17400 34273.5
17500 34107.5
17600 33975.9
17700 33951
17800 33980.3
17900 33994.3
18000 34037.3
18100 34162
18200 34243.1
18300 34265.6
18400 34231.3
18500 34102.1
18600 33984.1
18700 33965.3
18800 34039.3
18900 34092.9
19000 34125
19100 34218.2
19200 34375.7
19300 34511.1
19400 34616.1
19500 34654.8
19600 34602.8
19700 34561.8
19800 34509.4
19900 34431.3
20000 34354.4
