# Time-averaged data for fix ave_temp
# TimeStep v_H2O_temp
100 13.7242
200 49.821
300 86.536
400 117.089
500 151.119
600 193.529
700 233.48
800 267.762
900 301.723
1000 315.603
1100 310.027
1200 291.731
1300 287.797
1400 301.047
1500 314.403
1600 304.209
1700 293.36
1800 293.387
1900 302.695
2000 302.115
2100 310.814
2200 296.613
2300 291.819
2400 297.587
2500 307.267
2600 302.547
2700 301.359
2800 295.886
2900 295.29
3000 298.711
3100 306.956
3200 307.192
3300 293.422
3400 290.792
3500 299.514
3600 314.833
3700 315.429
3800 286.178
3900 292.97
4000 294.34
4100 300.128
4200 307.67
4300 312.758
4400 299.534
4500 296.909
4600 295.232
4700 291.246
4800 303.357
4900 311.81
5000 299.629
5100 292.66
5200 295.039
5300 306.541
5400 306.115
5500 293.868
5600 294.875
5700 293.182
5800 305.678
5900 309.319
6000 300.014
6100 299.396
6200 292.434
6300 295.938
6400 313.165
6500 306.128
6600 289.97
6700 289.872
6800 303.559
6900 307.524
7000 301.309
7100 297.859
7200 296.001
7300 299.028
7400 302.802
7500 311.268
7600 301.799
7700 300.094
7800 292.423
7900 302.147
8000 305.53
8100 291.365
8200 291.639
8300 294.052
8400 303.508
8500 306.707
8600 298.21
8700 301.431
8800 297.917
8900 290.931
9000 299.221
9100 305.326
9200 305.472
9300 301.675
9400 293.673
9500 303.89
9600 298.796
9700 289.973
9800 289.206
9900 306.163
10000 303.4
10100 300.143
10200 298.376
10300 295.415
10400 284.874
10500 277.861
10600 290.981
10700 305.63
10800 303.029
10900 296.104
11000 294.203
11100 299.585
11200 306.521
11300 302.749
11400 293.178
11500 290.523
11600 301.658
11700 311.43
11800 295.888
11900 291.82
12000 305.276
12100 305.635
12200 306.865
12300 299.453
12400 298.834
12500 299.827
12600 293.625
12700 297.197
12800 298.838
12900 303.416
13000 304.549
13100 294.126
13200 305.738
13300 308.89
13400 297.723
13500 298.996
13600 304.12
13700 305.219
13800 294.077
13900 287.811
14000 281.981
14100 291.68
14200 305.672
14300 310.806
14400 300.917
14500 292.564
14600 297.999
14700 301.28
14800 306.771
14900 308.937
15000 302.025
15100 299.942
15200 303.681
15300 295.433
15400 295.093
15500 293.132
15600 291.85
15700 297.044
15800 302.081
15900 303.29
16000 301.433
16100 291.071
16200 291.478
16300 302.709
16400 306.894
16500 296.557
16600 294.895
16700 298.851
16800 305.025
16900 302.238
17000 309.907
17100 312.835
17200 303.275
17300 302.417
17400 299.172
17500 296.873
17600 295.304
17700 291.741
17800 288.549
17900 301.997
18000 306.296
18100 298.874
18200 296.419
18300 292.501
18400 291.986
18500 290.343
18600 291.681
18700 302.659
18800 303.721
18900 302.271
19000 290.675
19100 282.863
19200 289.036
19300 291.903
19400 303.296
19500 308.918
19600 293.552
19700 295.139
19800 299.132
19900 304.019
20000 306.044
20100 309.136
20200 311.821
20300 304.221
20400 304.599
20500 303.614
20600 300.082
20700 298.376
20800 296.721
20900 303.575
21000 304.168
21100 279.572
21200 288.324
21300 302.68
21400 301.522
21500 295.555
21600 298.571
21700 304.401
21800 303.944
21900 301.173
22000 310.436
22100 300.821
22200 293.532
22300 300.606
22400 304.155
22500 309.454
22600 304.904
22700 294.943
22800 291.812
22900 295.165
23000 305.615
23100 309.356
23200 296.203
23300 298.957
23400 294.454
23500 302.189
23600 312.564
23700 309.08
23800 299.92
23900 299.68
24000 296.681
24100 301.441
24200 299.963
24300 302.828
24400 297.35
24500 300.768
24600 304.812
24700 299.75
24800 292.609
24900 296.409
25000 298.604
25100 298.374
25200 311.755
25300 297.066
25400 292.559
25500 295.033
25600 306.896
25700 306.032
25800 297.605
25900 296.229
26000 300.708
26100 301.965
26200 296.869
26300 300.07
26400 302.006
26500 299.79
26600 299.154
26700 299.493
26800 295.87
26900 305.56
27000 310.759
27100 301.605
27200 296.072
27300 292.977
27400 298.327
27500 296.956
27600 304.784
27700 303.872
27800 295.922
27900 299.785
28000 301.005
28100 308.708
28200 313.187
28300 303.558
28400 303.428
28500 302.297
28600 297.004
28700 288.885
28800 300.482
28900 309.67
29000 299.837
29100 299.674
29200 301.075
29300 299.285
29400 315.853
29500 312.453
29600 296.231
29700 295.505
29800 300.501
29900 309.243
30000 301.715
30100 289.395
30200 294.051
30300 306.089
30400 300.294
30500 297.33
30600 291.005
30700 290.047
30800 299.182
30900 298.264
31000 302.578
31100 309.882
31200 299.414
31300 296.235
31400 295.805
31500 304.568
31600 303.545
31700 310.67
31800 313.973
31900 297.541
32000 291.909
32100 297.328
32200 304.831
32300 313.419
32400 311.369
32500 296.106
32600 301.043
32700 300.151
32800 306.68
32900 299.756
33000 294.2
33100 296.446
33200 297.142
33300 307.864
33400 301.647
33500 297.548
33600 297.278
33700 295.259
33800 290.523
33900 296.135
34000 302.289
34100 300.818
34200 295.257
34300 298.33
34400 303.734
34500 305.352
34600 299.98
34700 291.854
34800 302.262
34900 306.943
35000 308.327
35100 301.642
35200 297.886
35300 297.572
35400 289.958
35500 290.312
35600 300.004
35700 303.234
35800 303.155
35900 297.945
36000 300.576
36100 313.632
36200 310.196
36300 303.238
36400 303.611
36500 303.721
36600 296.62
36700 301.331
36800 316.267
36900 305.485
37000 306.341
37100 299.787
37200 297.478
37300 300.512
37400 305.44
37500 309.659
37600 316.455
37700 312.129
37800 296.981
37900 295.29
38000 301.291
38100 303.66
38200 307.131
38300 307.763
38400 302.327
38500 299.551
38600 298.106
38700 293.553
38800 293.901
38900 293.986
39000 307.446
39100 302.824
39200 296.949
39300 304.154
39400 302.216
39500 295.439
39600 300.856
39700 309.976
39800 303.587
39900 294.424
40000 296.845
40100 304.583
40200 301.631
40300 300.134
40400 293.115
40500 294.245
40600 290.937
40700 294.713
40800 307.957
40900 297.446
41000 298.783
41100 299.984
41200 292.363
41300 286.592
41400 295.738
41500 306.611
41600 296.36
41700 300.11
41800 311.259
41900 300.557
42000 299.378
42100 300.596
42200 311.868
42300 303.631
42400 297.898
42500 296.959
42600 299.651
42700 307.572
42800 307.281
42900 292.21
43000 292.954
43100 299.81
43200 305.228
43300 302.508
43400 294.302
43500 283.489
43600 291.795
43700 295.61
43800 304.307
43900 302.173
44000 300.3
44100 308.272
44200 307.73
44300 299.51
44400 295.181
44500 296.131
44600 304.851
44700 302.767
44800 303.687
44900 296.781
45000 296.79
45100 294.866
45200 295.013
45300 302.893
45400 307.342
45500 297.938
45600 292.857
45700 305.223
45800 313.29
45900 313.241
46000 299.523
46100 299.513
46200 305.762
46300 298.631
46400 284.628
46500 294.172
46600 296.195
46700 299.899
46800 309.559
46900 296.922
47000 296.76
47100 308.935
47200 303.52
47300 303.744
47400 312.988
47500 307.162
47600 298.163
47700 295.109
47800 301.684
47900 304.103
48000 304.839
48100 306.102
48200 300.099
48300 293.585
48400 293.033
48500 295.254
48600 303.465
48700 299.981
48800 305.18
48900 304.527
49000 299.379
49100 297.083
49200 302.6
49300 310.657
49400 299.897
49500 294.734
49600 294.889
49700 297.941
49800 311.912
49900 299.497
50000 293.463
