# Time-averaged data for fix PEG_ave_temp
# TimeStep v_PEG_temp
100 90.1864
200 199.07
300 248.663
400 265.493
500 281.761
600 286.496
700 285.253
800 298.65
900 299.779
1000 298.913
1100 282.212
1200 290.305
1300 311.055
1400 298.329
1500 282.136
1600 284.582
1700 282.763
1800 302.066
1900 311.169
2000 299.515
2100 292.716
2200 299.808
2300 297.555
2400 301.459
2500 288.632
2600 300.395
2700 295.862
2800 297.168
2900 297.783
3000 300.117
3100 295.572
3200 293.821
3300 299.068
3400 301.667
3500 294.871
3600 302.481
3700 292.308
3800 294.938
3900 307.919
4000 298.98
4100 300.326
4200 296.497
4300 305.531
4400 285.006
4500 295.04
4600 306.469
4700 304.439
4800 288.099
4900 305.737
5000 297.704
5100 305.857
5200 296.819
5300 297.455
5400 296.495
5500 296.869
5600 300.387
5700 304.827
5800 302.369
5900 300.938
6000 302.026
6100 302.69
6200 309.408
6300 294.28
6400 291.421
6500 302.289
6600 298.525
6700 291.855
6800 308.984
6900 305.846
7000 291.236
7100 311.717
7200 289.183
7300 289.963
7400 300.137
7500 300.532
7600 303.825
7700 306.763
7800 303.34
7900 295.973
8000 292.573
8100 302.792
8200 311.382
8300 295.612
8400 290.23
8500 302.377
8600 310.713
8700 309.846
8800 304.712
8900 298.751
9000 296.471
9100 303.364
9200 293.89
9300 302.358
9400 288.065
9500 298.319
9600 293.939
9700 297.187
9800 306.701
9900 309.033
10000 291.824
