# Time-averaged data for fix ave_oxygen_6_7_distance
# TimeStep v_oxygen_6_7_distance
100 34.3411
200 34.5551
300 34.495
400 34.4552
500 34.1469
600 34.0891
700 34.1213
800 34.3728
900 34.2842
1000 34.0776
1100 33.1895
1200 32.389
1300 32.4087
1400 32.6596
1500 32.8942
1600 33.018
1700 33.0901
1800 32.5773
1900 32.6535
2000 32.4466
2100 32.3891
2200 32.0018
2300 31.547
2400 31.4663
2500 31.601
2600 31.5459
2700 31.6925
2800 31.8573
2900 31.9512
3000 32.0708
3100 31.991
3200 31.9277
3300 31.6413
3400 31.411
3500 31.3444
3600 31.1029
3700 30.8358
3800 31.0765
3900 31.6884
4000 32.2195
4100 32.3317
4200 32.4173
4300 32.35
4400 32.1566
4500 32.2992
4600 32.6256
4700 32.3656
4800 32.0738
4900 32.2248
5000 32.101
5100 31.9649
5200 32.0073
5300 31.9245
5400 31.4702
5500 31.1308
5600 31.3844
5700 31.8705
5800 32.2963
5900 32.6147
6000 32.6598
6100 32.7542
6200 32.6468
6300 32.2488
6400 31.689
6500 31.6466
6600 31.949
6700 31.921
6800 31.59
6900 31.4576
7000 31.3735
7100 31.185
7200 30.63
7300 29.8674
7400 29.2363
7500 29.0985
7600 29.3207
7700 29.4769
7800 29.3515
7900 29.4016
8000 29.4079
8100 29.0782
8200 29.1195
8300 28.9408
8400 28.9871
8500 28.8911
8600 28.2328
8700 27.8275
8800 28.2701
8900 28.6258
9000 28.8684
9100 28.6635
9200 28.325
9300 28.7199
9400 29.2682
9500 29.8609
9600 30.0305
9700 30.5884
9800 30.9708
9900 30.9115
10000 30.2983
10100 30.3402
10200 30.5354
10300 30.5886
10400 30.5243
10500 30.5396
10600 30.74
10700 30.765
10800 30.2724
10900 29.6829
11000 29.53
11100 29.1713
11200 28.9183
11300 28.9107
11400 28.5765
11500 28.3437
11600 29.1724
11700 29.5044
11800 29.7817
11900 30.0622
12000 30.2967
12100 30.365
12200 30.2081
12300 30.0249
12400 29.7941
12500 29.8499
12600 29.8822
12700 29.8243
12800 29.6091
12900 29.6274
13000 29.9166
13100 30.2062
13200 30.3904
13300 30.4215
13400 30.4999
13500 30.3923
