# Time-averaged data for fix solvated_PEG_ave_temp
# TimeStep v_solvated_PEG_temp
100 301.416
200 301.583
300 297.961
400 297.441
500 300.097
600 302.506
700 306.488
800 306.357
900 302.762
1000 298.812
1100 298.352
1200 298.813
1300 299.135
1400 303.394
1500 301.401
1600 301
1700 295.867
1800 293.744
1900 298.841
2000 297.181
2100 299.397
2200 299.323
2300 300.695
2400 304.449
2500 304.577
2600 301.339
2700 301.935
2800 299.585
2900 299.123
3000 295.152
3100 305.757
3200 302.227
3300 299.461
3400 297.017
3500 301.911
3600 306.613
3700 300.214
3800 300.387
3900 302.259
4000 299.955
4100 300.938
4200 299.548
4300 298.026
4400 298.497
4500 303.165
4600 298.167
4700 295.387
4800 291.175
4900 296.897
5000 301.533
5100 298.64
5200 304.967
5300 299.948
5400 299.955
5500 294.376
5600 297.448
5700 301.754
5800 297.663
5900 302.157
6000 300.759
6100 298.872
6200 299.167
6300 295.602
6400 294.077
6500 297.771
6600 299.445
6700 300.673
6800 301.747
6900 305.515
7000 306.59
7100 303.077
7200 301.408
7300 300.359
7400 297.6
7500 297.558
7600 297.207
7700 301.075
7800 303.272
7900 298.991
8000 296.083
8100 300.877
8200 306.025
8300 302.141
8400 299.818
8500 297.437
8600 297.505
8700 300.995
8800 300.772
8900 300.465
9000 296.545
9100 294.942
9200 300.038
9300 298.457
9400 302.123
9500 302.521
9600 300.391
9700 299.034
9800 301.194
9900 296.609
10000 299.618
10100 297.237
10200 299.646
10300 302.822
10400 301.671
10500 297.322
10600 294.137
10700 304.151
10800 303.399
10900 298.831
11000 298.059
11100 300.741
11200 293.642
11300 297.571
11400 305.367
11500 299.212
11600 297.377
11700 294.587
11800 297.856
11900 303.009
12000 302.64
12100 299.592
12200 297.316
12300 298.283
12400 297.348
12500 297.232
12600 301.385
12700 299.298
12800 299.971
12900 303.785
13000 303.752
13100 303.507
13200 297.291
13300 296.433
13400 302.22
13500 302.324
13600 300.082
13700 297.751
13800 296.01
13900 299.906
14000 301.171
14100 306.806
14200 302.661
14300 298.267
14400 295.599
14500 299.117
14600 303.426
14700 304.931
14800 299.996
14900 298.37
15000 301.258
15100 302.041
15200 298.468
15300 296.494
15400 292.638
15500 298.202
15600 298.973
15700 301.12
15800 301.919
15900 304.335
16000 301.713
16100 300.162
16200 297.674
16300 297.61
16400 302.095
16500 302.855
16600 304.725
16700 298.765
16800 298.264
16900 300.438
17000 304.168
17100 296.36
17200 296.828
17300 297.793
17400 293.623
17500 301.4
17600 303.6
17700 296.167
17800 299.527
17900 301.515
18000 308.776
18100 301.973
18200 298.964
18300 297.316
18400 303.387
18500 304.958
18600 306.381
18700 301.425
18800 295.258
18900 299.335
19000 302.827
19100 303.802
19200 298.819
19300 295.659
19400 297.929
19500 299.499
19600 304.373
19700 303.207
19800 299.211
19900 300.511
20000 297.519
20100 303.613
20200 305.244
20300 298.168
20400 298.839
20500 302.798
20600 303.516
20700 298.07
20800 296.885
20900 298.857
21000 303.298
21100 306.437
21200 300.381
21300 299.271
21400 296.561
21500 302.788
21600 306.471
21700 302.665
21800 299.256
21900 298.858
22000 297.487
22100 303.889
22200 304.551
22300 299.517
22400 296.736
22500 297.149
22600 304.065
22700 301.523
22800 299.995
22900 298.114
23000 297.829
23100 297.731
23200 300.896
23300 301.086
23400 300.067
23500 298.743
23600 301.931
23700 300.838
23800 296.798
23900 298.532
24000 302.891
24100 306.824
24200 298.683
24300 295.202
24400 301.072
24500 301.806
24600 300.641
24700 305.979
24800 306.831
24900 300.033
25000 301.267
25100 300.224
25200 295
25300 303.342
25400 302.281
25500 302.456
25600 301.673
25700 294.098
25800 300.947
25900 301.011
26000 303.566
26100 299.863
26200 296.723
26300 300.216
26400 300.722
26500 294.664
26600 299.903
26700 304.808
26800 299.829
26900 299.002
27000 293.666
27100 293.205
27200 299.036
27300 300.883
27400 299.453
27500 299.56
27600 305.873
27700 302.062
27800 295.799
27900 299.517
28000 301.634
28100 302.911
28200 304.362
28300 306.34
28400 304.767
28500 301.863
28600 298.751
28700 299.212
28800 297.514
28900 296.799
29000 296.96
29100 304.39
29200 299.037
29300 298.519
29400 298.309
29500 302.027
29600 302.84
29700 302.898
29800 297.916
29900 297.177
30000 299.647
30100 300.366
30200 305.737
30300 306.031
30400 298.303
30500 299.861
30600 302.561
30700 299.758
30800 298.346
30900 299.203
31000 297.608
31100 298.532
31200 303.939
31300 302.564
31400 297.34
31500 297.922
31600 299.973
31700 304.952
31800 305.719
31900 302.819
32000 300.413
32100 298.525
32200 299.393
32300 301.379
32400 297.615
32500 297.329
32600 296.787
32700 300.838
32800 302.085
32900 299.522
33000 300.112
33100 302.289
33200 307.754
33300 301.184
33400 298.657
33500 298.996
33600 303.18
33700 294.44
33800 297.271
