# Time-averaged data for fix solvated_PEG_ave_enthalpy
# TimeStep v_solvated_PEG_enthalpy
100 -9282.97
200 -10873.7
300 -12469.4
400 -12238.3
500 -12386.2
600 -12278
700 -11414.4
800 -11895.1
900 -11402.2
1000 -11481.9
1100 -11216.7
1200 -10938.1
1300 -11289.5
1400 -11957.9
1500 -11677.9
1600 -11756.4
1700 -11177.2
1800 -10974.1
1900 -10692.5
2000 -10817.1
2100 -10854.3
2200 -10555.7
2300 -10462.4
2400 -10679.3
2500 -10852.2
2600 -10490.6
2700 -10175.2
2800 -9955.98
2900 -10204
3000 -10393.1
3100 -10573.2
3200 -10639.3
3300 -10933.3
3400 -10828.4
3500 -11241.2
3600 -11430.6
3700 -11797.3
3800 -11775.4
3900 -11764.9
4000 -10888.8
4100 -10899.6
4200 -11245.4
4300 -11590.9
4400 -12019
4500 -11839.8
4600 -11787.1
4700 -11360.6
4800 -11581.3
4900 -11167
5000 -9560.76
5100 -9587.73
5200 -10989.1
5300 -11789.4
5400 -12374.9
5500 -12296.4
5600 -11166.5
5700 -10691.5
5800 -10778.6
5900 -10358.1
6000 -10191.3
6100 -10234.6
6200 -10242.5
6300 -9929.11
6400 -10217.5
6500 -10099.5
6600 -10203.7
6700 -10852
6800 -10854.8
6900 -10317.3
7000 -10753.3
7100 -11251.3
7200 -10969.2
7300 -11031.3
7400 -11600.2
7500 -11094.2
7600 -10773.3
7700 -10968
7800 -10892.1
7900 -10964.3
8000 -9854.98
8100 -10231.6
8200 -11220.1
8300 -11195.2
8400 -11175
8500 -10484.2
8600 -10777.8
8700 -10779.4
8800 -10900.8
8900 -10562.2
9000 -10961.8
9100 -10879.2
9200 -11021.3
9300 -10855.1
9400 -10456.8
9500 -10344.3
9600 -10292.9
9700 -9685.36
9800 -9461.7
9900 -9898.85
10000 -10173.2
