# Time-averaged data for fix solvated_PEG_ave_temp
# TimeStep v_solvated_PEG_temp
100 155.003
200 159.379
300 186.019
400 208.032
500 233.417
600 254.607
700 275.854
800 295.469
900 304.212
1000 306.255
1100 306.92
1200 299.024
1300 293.548
1400 294.586
1500 302.107
1600 307.403
1700 303.194
1800 299.808
1900 293.211
2000 295.37
2100 301.258
2200 305.957
2300 304.634
2400 297.398
2500 292.981
2600 300.533
2700 306.91
2800 300.634
2900 296.652
3000 296.961
3100 297.064
3200 301.851
3300 307.145
3400 300.813
3500 294.884
3600 291.536
3700 301.913
3800 305.744
3900 304.572
4000 301.446
4100 294.339
4200 295.631
4300 301.42
4400 302.183
4500 302.937
4600 300.042
4700 298.872
4800 300.021
4900 296.117
5000 297.13
5100 302.558
5200 303.645
5300 301.802
5400 299.773
5500 294.111
5600 300.299
5700 299.496
5800 301.371
5900 303.022
6000 303.744
6100 300.361
6200 295.25
6300 295.128
6400 302.527
6500 302.836
6600 299.552
6700 298.605
6800 298.577
6900 296.761
7000 297.2
7100 294.495
7200 289.433
7300 298.155
7400 301.765
7500 298.945
7600 298.214
7700 300.451
7800 303.002
7900 299.803
8000 298.82
8100 292.252
8200 296.773
8300 300.163
8400 301.601
8500 302.991
8600 302.484
8700 295.118
8800 295.891
8900 299.893
9000 301.67
9100 300.973
9200 298.916
9300 296.302
9400 304.471
9500 302.486
9600 301.329
9700 296.42
9800 298.061
9900 299.071
10000 303.883
10100 302.815
10200 302.416
10300 297.566
10400 297.158
10500 301.64
10600 307.495
10700 310.113
10800 303.966
10900 300.008
11000 297.153
11100 301.196
11200 298.186
11300 300.061
11400 307.339
11500 301.598
11600 300.498
11700 300.005
11800 297.54
11900 300.926
12000 307.136
12100 302.894
12200 299.832
12300 299.351
12400 299.473
12500 301.451
12600 300.437
12700 302.917
12800 303.17
12900 297.899
13000 296.477
13100 295.052
13200 297.888
13300 299.978
13400 305.785
13500 300.946
13600 295.78
13700 295.218
13800 296.81
13900 298.163
14000 300.676
14100 301.182
14200 302.33
14300 304.178
14400 304.164
14500 302.384
14600 300.233
14700 299.514
14800 297.395
14900 301.71
15000 306.277
15100 301.506
15200 304.401
15300 300.26
15400 299.523
15500 298.694
15600 300.673
15700 305.57
15800 306.582
15900 300.926
16000 299.147
16100 295.346
16200 300.907
16300 304.779
16400 303.519
16500 300.05
16600 300.594
16700 300.392
16800 294.802
16900 293.697
17000 296.917
17100 296.601
17200 298.459
17300 300.526
17400 303.418
17500 301.148
17600 295.946
17700 299.808
17800 297.367
17900 302.785
18000 302.405
18100 299.492
18200 294.291
18300 298.084
18400 300.95
18500 302.96
18600 301.984
18700 299.093
18800 298.501
18900 301.354
19000 304.172
19100 300.926
19200 297.746
19300 299.709
19400 299.834
19500 295.553
19600 302.929
19700 301.55
19800 299.827
19900 300.868
20000 293.744
20100 297.911
20200 300.082
20300 300.344
20400 301.201
20500 296.865
20600 301.88
20700 303.489
20800 305.212
20900 301.371
21000 294.279
21100 297.553
21200 299.979
21300 303.261
21400 300.555
21500 298.795
21600 296.176
21700 297.891
21800 300.764
21900 304.108
22000 299.205
22100 296.546
22200 297.585
22300 301.574
22400 301.135
22500 309.316
22600 306.424
22700 300.755
22800 295.699
22900 297.842
23000 301.685
23100 303.594
23200 300.018
23300 297.012
23400 297.836
23500 299.304
23600 300.919
23700 302.161
23800 304.617
23900 307.947
24000 303.758
24100 298.61
24200 297.845
24300 300.857
24400 304.337
24500 305.217
24600 302.326
24700 300.583
24800 298.618
24900 298.004
25000 301.666
25100 305.265
25200 305.237
25300 298.209
25400 296.04
25500 299.332
25600 305.427
25700 304.66
25800 299.317
25900 300.538
26000 298.602
26100 298.746
26200 298.469
26300 301.551
26400 305.134
26500 298.879
26600 296.406
26700 300.654
26800 300.335
26900 298.284
27000 300.068
27100 303.035
27200 304.152
27300 300.825
27400 298.499
27500 300.585
27600 300
27700 300.096
27800 298.369
27900 296.61
28000 297.059
28100 300.776
28200 302.072
28300 300.52
28400 299.355
28500 294.056
28600 295.076
28700 297.901
28800 296.652
28900 301.902
29000 300.447
29100 297.95
29200 296.202
29300 294.588
29400 296.63
29500 300.825
29600 300.449
29700 299.355
29800 299
29900 305.324
30000 301.895
