# Time-averaged data for fix solvated_PEG_ave_vol
# TimeStep v_solvated_PEG_vol
100 130633
200 130725
300 130736
400 130567
500 130408
600 130211
700 130015
800 129729
900 129262
1000 128823
1100 128550
1200 128518
1300 128619
1400 128761
1500 128903
1600 128977
1700 128849
1800 128844
1900 128958
2000 129195
2100 129389
2200 129386
2300 129363
2400 129375
2500 129239
2600 128811
2700 128270
2800 127818
2900 127454
3000 127246
3100 127208
3200 127371
3300 127723
3400 128087
3500 128510
3600 128830
3700 129142
3800 129389
3900 129523
4000 129420
4100 129127
4200 128789
4300 128524
4400 128393
4500 128323
4600 128268
4700 128144
4800 127966
4900 127755
5000 127527
5100 127398
5200 127486
5300 127656
5400 127669
5500 127548
5600 127379
5700 127282
5800 127276
5900 127379
6000 127489
6100 127546
6200 127559
6300 127666
6400 127936
6500 128304
6600 128658
6700 129000
6800 129142
6900 129114
7000 129103
7100 129063
7200 128914
7300 128725
7400 128512
7500 128260
7600 128131
7700 128211
7800 128313
7900 128285
8000 128102
8100 127947
8200 127742
8300 127395
8400 127020
8500 126660
8600 126339
8700 125990
8800 125839
8900 125920
9000 126215
9100 126588
9200 126931
9300 127197
9400 127451
9500 127731
9600 127928
9700 127886
9800 127742
9900 127650
10000 127481
